report_date,new_positive,issue_date
2021-12-27,86634,2021-12-28
2021-12-26,0,2021-12-28
2021-12-25,0,2021-12-28
2021-12-24,0,2021-12-28
2021-12-23,20401,2021-12-28
2021-12-22,15485,2021-12-28
2021-12-21,10903,2021-12-28
2021-12-20,7766,2021-12-28
2021-12-19,26273,2021-12-28
2021-12-18,0,2021-12-28
2021-12-17,0,2021-12-28
2021-12-16,7293,2021-12-28
2021-12-15,5494,2021-12-28
2021-12-14,4416,2021-12-28
2021-12-13,5476,2021-12-28
2021-12-12,18905,2021-12-28
2021-12-11,0,2021-12-28
2021-12-10,0,2021-12-28
2021-12-09,6252,2021-12-28
2021-12-08,5251,2021-12-28
2021-12-07,4672,2021-12-28
2021-12-06,6134,2021-12-28
2021-12-05,22406,2021-12-28
2021-12-04,0,2021-12-28
2021-12-03,0,2021-12-28
2021-12-02,7612,2021-12-28
2021-12-01,5113,2021-12-28
2021-11-30,3654,2021-12-28
2021-11-29,4667,2021-12-28
2021-11-28,20976,2021-12-28
2021-11-27,0,2021-12-28
2021-11-26,0,2021-12-28
2021-11-25,0,2021-12-28
2021-11-24,0,2021-12-28
2021-11-23,3063,2021-12-28
2021-11-22,4163,2021-12-28
2021-11-21,15344,2021-12-28
2021-11-20,0,2021-12-28
2021-11-19,0,2021-12-28
2021-11-18,5327,2021-12-28
2021-11-17,4541,2021-12-28
2021-11-16,3912,2021-12-28
2021-11-15,4515,2021-12-28
2021-11-14,8410,2021-12-28
2021-11-13,0,2021-12-28
2021-11-12,11996,2021-12-28
2021-11-11,0,2021-12-28
2021-11-10,4757,2021-12-28
2021-11-09,3716,2021-12-28
2021-11-08,3945,2021-12-28
2021-11-07,18893,2021-12-28
2021-11-06,0,2021-12-28
2021-11-05,0,2021-12-28
2021-11-04,8012,2021-12-28
2021-11-03,5608,2021-12-28
2021-11-02,3518,2021-12-28
2021-11-01,4209,2021-12-28
2021-10-31,19351,2021-12-28
2021-10-30,0,2021-12-28
2021-10-29,0,2021-12-28
2021-10-28,7098,2021-12-28
2021-10-27,4949,2021-12-28
2021-10-26,4378,2021-12-28
2021-10-25,24563,2021-12-28
2021-10-24,0,2021-12-28
2021-10-23,0,2021-12-28
2021-10-22,0,2021-12-28
2021-10-21,6093,2021-12-28
2021-10-20,5124,2021-12-28
2021-10-19,3070,2021-12-28
2021-10-18,4081,2021-12-28
2021-10-17,16764,2021-12-28
2021-10-16,0,2021-12-28
2021-10-15,0,2021-12-28
2021-10-14,6188,2021-12-28
2021-10-13,3960,2021-12-28
2021-10-12,4034,2021-12-28
2021-10-11,4091,2021-12-28
2021-10-10,16921,2021-12-28
2021-10-09,0,2021-12-28
2021-10-08,0,2021-12-28
2021-10-07,6710,2021-12-28
2021-10-06,4710,2021-12-28
2021-10-05,5386,2021-12-28
2021-10-04,3752,2021-12-28
2021-10-03,18998,2021-12-28
2021-10-02,0,2021-12-28
2021-10-01,0,2021-12-28
2021-09-30,7869,2021-12-28
2021-09-29,5967,2021-12-28
2021-09-28,6493,2021-12-28
2021-09-27,4753,2021-12-28
2021-09-26,22969,2021-12-28
2021-09-25,0,2021-12-28
2021-09-24,0,2021-12-28
2021-09-23,7276,2021-12-28
2021-09-22,6694,2021-12-28
2021-09-21,6579,2021-12-28
2021-09-20,6032,2021-12-28
2021-09-19,6193,2021-12-28
2021-09-18,9038,2021-12-28
2021-09-17,9385,2021-12-28
2021-09-16,9543,2021-12-28
2021-09-15,7360,2021-12-28
2021-09-14,7760,2021-12-28
2021-09-13,11851,2021-12-28
2021-09-12,6842,2021-12-28
2021-09-11,9045,2021-12-28
2021-09-10,13463,2021-12-28
2021-09-09,9244,2021-12-28
2021-09-08,7127,2021-12-28
2021-09-07,7274,2021-12-28
2021-09-06,7523,2021-12-28
2021-09-05,8866,2021-12-28
2021-09-04,14267,2021-12-28
2021-09-03,9318,2021-12-28
2021-09-02,11742,2021-12-28
2021-09-01,10194,2021-12-28
2021-08-31,23387,2021-12-28
2021-08-30,9606,2021-12-28
2021-08-29,14968,2021-12-28
2021-08-28,11828,2021-12-28
2021-08-27,15157,2021-12-28
2021-08-26,13785,2021-12-28
2021-08-25,11769,2021-12-28
2021-08-24,11899,2021-12-28
2021-08-23,10401,2021-12-28
2021-08-22,10274,2021-12-28
2021-08-21,14564,2021-12-28
2021-08-20,13613,2021-12-28
2021-08-19,14716,2021-12-28
2021-08-18,12359,2021-12-28
2021-08-17,14317,2021-12-28
2021-08-16,9748,2021-12-28
2021-08-15,11437,2021-12-28
2021-08-14,13472,2021-12-28
2021-08-13,14479,2021-12-28
2021-08-12,14099,2021-12-28
2021-08-11,10450,2021-12-28
2021-08-10,9925,2021-12-28
2021-08-09,9625,2021-12-28
2021-08-08,10425,2021-12-28
2021-08-07,13271,2021-12-28
2021-08-06,12916,2021-12-28
2021-08-05,14402,2021-12-28
2021-08-04,9517,2021-12-28
2021-08-03,8552,2021-12-28
2021-08-02,7318,2021-12-28
2021-08-01,33407,2021-12-28
2021-07-31,0,2021-12-28
2021-07-30,0,2021-12-28
2021-07-29,10356,2021-12-28
2021-07-28,7457,2021-12-28
2021-07-27,6849,2021-12-28
2021-07-26,7731,2021-12-28
2021-07-25,21940,2021-12-28
2021-07-24,0,2021-12-28
2021-07-23,0,2021-12-28
2021-07-22,7984,2021-12-28
2021-07-21,5577,2021-12-28
