test_date,new_positive,issue_date
2021-05-08,0,2021-05-09
2021-05-07,168,2021-05-09
2021-05-06,836,2021-05-09
2021-05-05,1319,2021-05-09
2021-05-04,1552,2021-05-09
2021-05-03,1864,2021-05-09
2021-05-02,777,2021-05-09
2021-05-01,1018,2021-05-09
2021-04-30,1589,2021-05-09
2021-04-29,1662,2021-05-09
2021-04-28,1667,2021-05-09
2021-04-27,1651,2021-05-09
2021-04-26,1838,2021-05-09
2021-04-25,1002,2021-05-09
2021-04-24,1211,2021-05-09
2021-04-23,1688,2021-05-09
2021-04-22,1776,2021-05-09
2021-04-21,1891,2021-05-09
2021-04-20,2029,2021-05-09
2021-04-19,2329,2021-05-09
2021-04-18,1358,2021-05-09
2021-04-17,1488,2021-05-09
2021-04-16,2003,2021-05-09
2021-04-15,2070,2021-05-09
2021-04-14,2345,2021-05-09
2021-04-13,2368,2021-05-09
2021-04-12,2667,2021-05-09
2021-04-11,1527,2021-05-09
2021-04-10,1788,2021-05-09
2021-04-09,2243,2021-05-09
2021-04-08,2235,2021-05-09
2021-04-07,2601,2021-05-09
2021-04-06,2489,2021-05-09
2021-04-05,2840,2021-05-09
2021-04-04,1527,2021-05-09
2021-04-03,1682,2021-05-09
2021-04-02,2203,2021-05-09
2021-04-01,2281,2021-05-09
2021-03-31,2351,2021-05-09
2021-03-30,2408,2021-05-09
2021-03-29,2663,2021-05-09
2021-03-28,1584,2021-05-09
2021-03-27,1672,2021-05-09
2021-03-26,2251,2021-05-09
2021-03-25,2276,2021-05-09
2021-03-24,2670,2021-05-09
2021-03-23,2482,2021-05-09
2021-03-22,2690,2021-05-09
2021-03-21,1603,2021-05-09
2021-03-20,1693,2021-05-09
2021-03-19,2160,2021-05-09
2021-03-18,2197,2021-05-09
2021-03-17,2547,2021-05-09
2021-03-16,2501,2021-05-09
2021-03-15,2899,2021-05-09
2021-03-14,1600,2021-05-09
2021-03-13,1881,2021-05-09
2021-03-12,2480,2021-05-09
2021-03-11,2585,2021-05-09
2021-03-10,2754,2021-05-09
2021-03-09,2796,2021-05-09
2021-03-08,3335,2021-05-09
2021-03-07,1905,2021-05-09
2021-03-06,2180,2021-05-09
2021-03-05,2912,2021-05-09
2021-03-04,2921,2021-05-09
2021-03-03,3189,2021-05-09
2021-03-02,3245,2021-05-09
2021-03-01,3741,2021-05-09
2021-02-28,2160,2021-05-09
2021-02-27,2521,2021-05-09
2021-02-26,3368,2021-05-09
2021-02-25,3444,2021-05-09
2021-02-24,3870,2021-05-09
2021-02-23,4072,2021-05-09
2021-02-22,4758,2021-05-09
