test_date,new_positive,issue_date
2021-11-29,0,2021-11-30
2021-11-28,376,2021-11-30
2021-11-27,2057,2021-11-30
2021-11-26,2686,2021-11-30
2021-11-25,738,2021-11-30
2021-11-24,3516,2021-11-30
2021-11-23,3935,2021-11-30
2021-11-22,4216,2021-11-30
2021-11-21,2137,2021-11-30
2021-11-20,2572,2021-11-30
2021-11-19,3993,2021-11-30
2021-11-18,4158,2021-11-30
2021-11-17,4705,2021-11-30
2021-11-16,5028,2021-11-30
2021-11-15,6097,2021-11-30
2021-11-14,3076,2021-11-30
2021-11-13,3340,2021-11-30
2021-11-12,4949,2021-11-30
2021-11-11,4256,2021-11-30
2021-11-10,5527,2021-11-30
2021-11-09,5793,2021-11-30
2021-11-08,6543,2021-11-30
2021-11-07,3386,2021-11-30
2021-11-06,3605,2021-11-30
2021-11-05,5475,2021-11-30
2021-11-04,5959,2021-11-30
2021-11-03,6311,2021-11-30
2021-11-02,6389,2021-11-30
2021-11-01,7279,2021-11-30
2021-10-31,3453,2021-11-30
2021-10-30,3906,2021-11-30
2021-10-29,5584,2021-11-30
2021-10-28,6012,2021-11-30
2021-10-27,6488,2021-11-30
2021-10-26,6717,2021-11-30
2021-10-25,7166,2021-11-30
2021-10-24,3531,2021-11-30
2021-10-23,4012,2021-11-30
2021-10-22,5924,2021-11-30
2021-10-21,5874,2021-11-30
2021-10-20,6189,2021-11-30
2021-10-19,6325,2021-11-30
2021-10-18,6992,2021-11-30
2021-10-17,3547,2021-11-30
2021-10-16,3604,2021-11-30
2021-10-15,5236,2021-11-30
2021-10-14,5233,2021-11-30
2021-10-13,5578,2021-11-30
2021-10-12,5758,2021-11-30
2021-10-11,5755,2021-11-30
2021-10-10,3261,2021-11-30
2021-10-09,3479,2021-11-30
2021-10-08,5134,2021-11-30
2021-10-07,5267,2021-11-30
2021-10-06,5954,2021-11-30
2021-10-05,6188,2021-11-30
2021-10-04,6753,2021-11-30
2021-10-03,3362,2021-11-30
2021-10-02,3656,2021-11-30
2021-10-01,5679,2021-11-30
2021-09-30,5744,2021-11-30
2021-09-29,6165,2021-11-30
2021-09-28,6708,2021-11-30
2021-09-27,7585,2021-11-30
2021-09-26,3723,2021-11-30
2021-09-25,4195,2021-11-30
2021-09-24,6114,2021-11-30
2021-09-23,6441,2021-11-30
2021-09-22,7331,2021-11-30
2021-09-21,7470,2021-11-30
2021-09-20,8774,2021-11-30
2021-09-19,4116,2021-11-30
2021-09-18,4864,2021-11-30
2021-09-17,7266,2021-11-30
2021-09-16,7835,2021-11-30
2021-09-15,8761,2021-11-30
2021-09-14,9393,2021-11-30
2021-09-13,10329,2021-11-30
2021-09-12,5297,2021-11-30
2021-09-11,6200,2021-11-30
2021-09-10,9241,2021-11-30
2021-09-09,10125,2021-11-30
2021-09-08,11238,2021-11-30
2021-09-07,12325,2021-11-30
2021-09-06,6604,2021-11-30
2021-09-05,5319,2021-11-30
2021-09-04,6695,2021-11-30
2021-09-03,9910,2021-11-30
2021-09-02,10885,2021-11-30
2021-09-01,12761,2021-11-30
2021-08-31,12180,2021-11-30
2021-08-30,13170,2021-11-30
2021-08-29,6548,2021-11-30
2021-08-28,7735,2021-11-30
2021-08-27,11170,2021-11-30
2021-08-26,12347,2021-11-30
2021-08-25,13541,2021-11-30
2021-08-24,13967,2021-11-30
2021-08-23,15208,2021-11-30
2021-08-22,7486,2021-11-30
2021-08-21,8817,2021-11-30
2021-08-20,13332,2021-11-30
2021-08-19,13842,2021-11-30
2021-08-18,14953,2021-11-30
2021-08-17,15452,2021-11-30
2021-08-16,16061,2021-11-30
2021-08-15,8139,2021-11-30
2021-08-14,9528,2021-11-30
2021-08-13,13696,2021-11-30
2021-08-12,14528,2021-11-30
2021-08-11,15405,2021-11-30
2021-08-10,16109,2021-11-30
2021-08-09,16227,2021-11-30
2021-08-08,8624,2021-11-30
2021-08-07,9629,2021-11-30
2021-08-06,12830,2021-11-30
2021-08-05,13857,2021-11-30
2021-08-04,14029,2021-11-30
2021-08-03,14294,2021-11-30
2021-08-02,14031,2021-11-30
2021-08-01,8446,2021-11-30
2021-07-31,8459,2021-11-30
2021-07-30,11049,2021-11-30
2021-07-29,11717,2021-11-30
2021-07-28,11791,2021-11-30
2021-07-27,11181,2021-11-30
2021-07-26,11665,2021-11-30
2021-07-25,6392,2021-11-30
2021-07-24,6716,2021-11-30
2021-07-23,8055,2021-11-30
2021-07-22,8249,2021-11-30
2021-07-21,8725,2021-11-30
