test_date,new_positive,issue_date
2022-03-24,0,2022-03-25
2022-03-23,206,2022-03-25
2022-03-22,1250,2022-03-25
2022-03-21,1865,2022-03-25
2022-03-20,843,2022-03-25
2022-03-19,982,2022-03-25
2022-03-18,1753,2022-03-25
2022-03-17,2116,2022-03-25
2022-03-16,2255,2022-03-25
2022-03-15,2382,2022-03-25
2022-03-14,2662,2022-03-25
2022-03-13,1177,2022-03-25
2022-03-12,1424,2022-03-25
2022-03-11,2220,2022-03-25
2022-03-10,2478,2022-03-25
2022-03-09,2944,2022-03-25
2022-03-08,3220,2022-03-25
2022-03-07,3769,2022-03-25
2022-03-06,1763,2022-03-25
2022-03-05,2037,2022-03-25
2022-03-04,3114,2022-03-25
2022-03-03,3544,2022-03-25
2022-03-02,3918,2022-03-25
2022-03-01,4627,2022-03-25
2022-02-28,5210,2022-03-25
2022-02-27,2349,2022-03-25
2022-02-26,2671,2022-03-25
2022-02-25,4739,2022-03-25
2022-02-24,5060,2022-03-25
2022-02-23,5563,2022-03-25
2022-02-22,7105,2022-03-25
2022-02-21,5323,2022-03-25
2022-02-20,3568,2022-03-25
2022-02-19,4171,2022-03-25
2022-02-18,7022,2022-03-25
2022-02-17,8102,2022-03-25
2022-02-16,9348,2022-03-25
2022-02-15,10850,2022-03-25
2022-02-14,12812,2022-03-25
2022-02-13,5545,2022-03-25
2022-02-12,7131,2022-03-25
2022-02-11,13744,2022-03-25
2022-02-10,14083,2022-03-25
2022-02-09,16090,2022-03-25
2022-02-08,17809,2022-03-25
2022-02-07,22253,2022-03-25
2022-02-06,9777,2022-03-25
2022-02-05,11828,2022-03-25
2022-02-04,21835,2022-03-25
2022-02-03,24022,2022-03-25
2022-02-02,27241,2022-03-25
2022-02-01,32582,2022-03-25
2022-01-31,38494,2022-03-25
2022-01-30,15160,2022-03-25
2022-01-29,20639,2022-03-25
2022-01-28,38365,2022-03-25
2022-01-27,43826,2022-03-25
2022-01-26,51463,2022-03-25
2022-01-25,59575,2022-03-25
2022-01-24,69903,2022-03-25
2022-01-23,28087,2022-03-25
2022-01-22,39556,2022-03-25
2022-01-21,76671,2022-03-25
2022-01-20,89198,2022-03-25
2022-01-19,100391,2022-03-25
2022-01-18,118912,2022-03-25
2022-01-17,80721,2022-03-25
2022-01-16,40000,2022-03-25
2022-01-15,57994,2022-03-25
2022-01-14,103338,2022-03-25
2022-01-13,113415,2022-03-25
2022-01-12,125532,2022-03-25
2022-01-11,134099,2022-03-25
2022-01-10,140397,2022-03-25
2022-01-09,55436,2022-03-25
2022-01-08,76257,2022-03-25
2022-01-07,133974,2022-03-25
2022-01-06,142105,2022-03-25
2022-01-05,153639,2022-03-25
2022-01-04,155513,2022-03-25
2022-01-03,138934,2022-03-25
2022-01-02,56180,2022-03-25
2022-01-01,32463,2022-03-25
2021-12-31,54316,2022-03-25
2021-12-30,85427,2022-03-25
2021-12-29,88253,2022-03-25
2021-12-28,88265,2022-03-25
2021-12-27,75170,2022-03-25
2021-12-26,35839,2022-03-25
2021-12-25,14728,2022-03-25
2021-12-24,22125,2022-03-25
2021-12-23,32344,2022-03-25
2021-12-22,31753,2022-03-25
2021-12-21,27163,2022-03-25
2021-12-20,23151,2022-03-25
2021-12-19,10783,2022-03-25
2021-12-18,9748,2022-03-25
2021-12-17,11139,2022-03-25
2021-12-16,10232,2022-03-25
2021-12-15,10132,2022-03-25
2021-12-14,8408,2022-03-25
2021-12-13,8961,2022-03-25
2021-12-12,4417,2022-03-25
2021-12-11,4259,2022-03-25
2021-12-10,5799,2022-03-25
2021-12-09,5801,2022-03-25
2021-12-08,6546,2022-03-25
2021-12-07,6602,2022-03-25
2021-12-06,7484,2022-03-25
2021-12-05,3910,2022-03-25
2021-12-04,4205,2022-03-25
2021-12-03,6204,2022-03-25
2021-12-02,6367,2022-03-25
2021-12-01,7562,2022-03-25
2021-11-30,7129,2022-03-25
2021-11-29,8354,2022-03-25
2021-11-28,4455,2022-03-25
2021-11-27,4274,2022-03-25
2021-11-26,4369,2022-03-25
2021-11-25,2312,2022-03-25
2021-11-24,4687,2022-03-25
2021-11-23,4859,2022-03-25
2021-11-22,5266,2022-03-25
2021-11-21,2964,2022-03-25
2021-11-20,3298,2022-03-25
2021-11-19,4614,2022-03-25
2021-11-18,4707,2022-03-25
2021-11-17,5170,2022-03-25
2021-11-16,5418,2022-03-25
2021-11-15,6436,2022-03-25
2021-11-14,3262,2022-03-25
2021-11-13,3457,2022-03-25
2021-11-12,5095,2022-03-25
2021-11-11,4334,2022-03-25
2021-11-10,5637,2022-03-25
2021-11-09,5906,2022-03-25
2021-11-08,6660,2022-03-25
2021-11-07,3481,2022-03-25
2021-11-06,3687,2022-03-25
2021-11-05,5545,2022-03-25
2021-11-04,6038,2022-03-25
2021-11-03,6431,2022-03-25
2021-11-02,6540,2022-03-25
2021-11-01,7421,2022-03-25
2021-10-31,3515,2022-03-25
2021-10-30,3957,2022-03-25
2021-10-29,5649,2022-03-25
2021-10-28,6092,2022-03-25
2021-10-27,6576,2022-03-25
2021-10-26,6806,2022-03-25
2021-10-25,7235,2022-03-25
2021-10-24,3586,2022-03-25
2021-10-23,4080,2022-03-25
2021-10-22,5988,2022-03-25
2021-10-21,5942,2022-03-25
2021-10-20,6256,2022-03-25
2021-10-19,6375,2022-03-25
2021-10-18,7088,2022-03-25
2021-10-17,3587,2022-03-25
2021-10-16,3654,2022-03-25
2021-10-15,5307,2022-03-25
2021-10-14,5300,2022-03-25
2021-10-13,5643,2022-03-25
2021-10-12,5811,2022-03-25
2021-10-11,5822,2022-03-25
2021-10-10,3306,2022-03-25
2021-10-09,3519,2022-03-25
2021-10-08,5175,2022-03-25
2021-10-07,5318,2022-03-25
2021-10-06,6018,2022-03-25
2021-10-05,6256,2022-03-25
2021-10-04,6793,2022-03-25
2021-10-03,3408,2022-03-25
2021-10-02,3696,2022-03-25
2021-10-01,5766,2022-03-25
2021-09-30,5798,2022-03-25
2021-09-29,6230,2022-03-25
2021-09-28,6770,2022-03-25
2021-09-27,7647,2022-03-25
2021-09-26,3764,2022-03-25
2021-09-25,4235,2022-03-25
2021-09-24,6170,2022-03-25
2021-09-23,6487,2022-03-25
2021-09-22,7405,2022-03-25
2021-09-21,7538,2022-03-25
2021-09-20,8852,2022-03-25
2021-09-19,4144,2022-03-25
2021-09-18,4914,2022-03-25
2021-09-17,7338,2022-03-25
2021-09-16,7868,2022-03-25
2021-09-15,8867,2022-03-25
2021-09-14,9464,2022-03-25
2021-09-13,10427,2022-03-25
2021-09-12,5346,2022-03-25
2021-09-11,6252,2022-03-25
2021-09-10,9310,2022-03-25
2021-09-09,10188,2022-03-25
2021-09-08,11324,2022-03-25
2021-09-07,12434,2022-03-25
2021-09-06,6655,2022-03-25
2021-09-05,5372,2022-03-25
2021-09-04,6791,2022-03-25
2021-09-03,9977,2022-03-25
2021-09-02,11004,2022-03-25
2021-09-01,12936,2022-03-25
2021-08-31,12281,2022-03-25
2021-08-30,13302,2022-03-25
2021-08-29,6589,2022-03-25
2021-08-28,7803,2022-03-25
2021-08-27,11268,2022-03-25
2021-08-26,12429,2022-03-25
2021-08-25,13623,2022-03-25
2021-08-24,14060,2022-03-25
2021-08-23,15334,2022-03-25
2021-08-22,7552,2022-03-25
2021-08-21,8878,2022-03-25
2021-08-20,13419,2022-03-25
2021-08-19,13925,2022-03-25
2021-08-18,15051,2022-03-25
2021-08-17,15519,2022-03-25
2021-08-16,16139,2022-03-25
2021-08-15,8193,2022-03-25
2021-08-14,9588,2022-03-25
2021-08-13,13770,2022-03-25
2021-08-12,14626,2022-03-25
2021-08-11,15515,2022-03-25
2021-08-10,16197,2022-03-25
2021-08-09,16284,2022-03-25
2021-08-08,8701,2022-03-25
2021-08-07,9674,2022-03-25
2021-08-06,12880,2022-03-25
2021-08-05,13917,2022-03-25
2021-08-04,14074,2022-03-25
2021-08-03,14318,2022-03-25
2021-08-02,14109,2022-03-25
2021-08-01,8498,2022-03-25
2021-07-31,8487,2022-03-25
2021-07-30,11084,2022-03-25
2021-07-29,11760,2022-03-25
2021-07-28,11821,2022-03-25
2021-07-27,11234,2022-03-25
2021-07-26,11716,2022-03-25
2021-07-25,6406,2022-03-25
2021-07-24,6749,2022-03-25
2021-07-23,8091,2022-03-25
2021-07-22,8282,2022-03-25
2021-07-21,8754,2022-03-25
2021-07-20,8322,2022-03-25
2021-07-19,8373,2022-03-25
2021-07-18,4782,2022-03-25
2021-07-17,4671,2022-03-25
2021-07-16,5948,2022-03-25
2021-07-15,5846,2022-03-25
2021-07-14,5545,2022-03-25
2021-07-13,5377,2022-03-25
2021-07-12,5358,2022-03-25
2021-07-11,3124,2022-03-25
2021-07-10,3125,2022-03-25
2021-07-09,3599,2022-03-25
2021-07-08,3568,2022-03-25
2021-07-07,3753,2022-03-25
2021-07-06,3601,2022-03-25
2021-07-05,2775,2022-03-25
2021-07-04,1554,2022-03-25
2021-07-03,1679,2022-03-25
2021-07-02,2012,2022-03-25
2021-07-01,2153,2022-03-25
2021-06-30,2019,2022-03-25
2021-06-29,1880,2022-03-25
2021-06-28,1927,2022-03-25
2021-06-27,1170,2022-03-25
2021-06-26,1067,2022-03-25
2021-06-25,1302,2022-03-25
2021-06-24,1394,2022-03-25
2021-06-23,1231,2022-03-25
2021-06-22,1311,2022-03-25
2021-06-21,1390,2022-03-25
2021-06-20,800,2022-03-25
2021-06-19,743,2022-03-25
2021-06-18,928,2022-03-25
2021-06-17,1022,2022-03-25
2021-06-16,1071,2022-03-25
2021-06-15,1039,2022-03-25
2021-06-14,1148,2022-03-25
2021-06-13,702,2022-03-25
2021-06-12,671,2022-03-25
2021-06-11,852,2022-03-25
2021-06-10,873,2022-03-25
2021-06-09,925,2022-03-25
2021-06-08,1050,2022-03-25
2021-06-07,1038,2022-03-25
2021-06-06,606,2022-03-25
2021-06-05,642,2022-03-25
2021-06-04,853,2022-03-25
2021-06-03,994,2022-03-25
2021-06-02,1037,2022-03-25
2021-06-01,1207,2022-03-25
2021-05-31,591,2022-03-25
2021-05-30,585,2022-03-25
2021-05-29,601,2022-03-25
2021-05-28,860,2022-03-25
2021-05-27,916,2022-03-25
2021-05-26,974,2022-03-25
2021-05-25,1046,2022-03-25
2021-05-24,1208,2022-03-25
2021-05-23,660,2022-03-25
2021-05-22,701,2022-03-25
2021-05-21,943,2022-03-25
2021-05-20,992,2022-03-25
2021-05-19,1190,2022-03-25
2021-05-18,1226,2022-03-25
2021-05-17,1330,2022-03-25
2021-05-16,812,2022-03-25
2021-05-15,897,2022-03-25
2021-05-14,1177,2022-03-25
2021-05-13,1189,2022-03-25
2021-05-12,1352,2022-03-25
2021-05-11,1467,2022-03-25
2021-05-10,1633,2022-03-25
2021-05-09,937,2022-03-25
2021-05-08,1044,2022-03-25
2021-05-07,1438,2022-03-25
2021-05-06,1531,2022-03-25
2021-05-05,1697,2022-03-25
2021-05-04,1597,2022-03-25
2021-05-03,1965,2022-03-25
2021-05-02,1101,2022-03-25
2021-05-01,1274,2022-03-25
2021-04-30,1645,2022-03-25
2021-04-29,1660,2022-03-25
2021-04-28,1819,2022-03-25
2021-04-27,1869,2022-03-25
2021-04-26,2105,2022-03-25
2021-04-25,1212,2022-03-25
2021-04-24,1366,2022-03-25
2021-04-23,1816,2022-03-25
2021-04-22,1837,2022-03-25
2021-04-21,1995,2022-03-25
2021-04-20,2125,2022-03-25
2021-04-19,2438,2022-03-25
2021-04-18,1424,2022-03-25
2021-04-17,1552,2022-03-25
2021-04-16,2045,2022-03-25
2021-04-15,2113,2022-03-25
2021-04-14,2391,2022-03-25
2021-04-13,2410,2022-03-25
2021-04-12,2712,2022-03-25
2021-04-11,1564,2022-03-25
2021-04-10,1818,2022-03-25
2021-04-09,2273,2022-03-25
2021-04-08,2270,2022-03-25
2021-04-07,2618,2022-03-25
2021-04-06,2549,2022-03-25
2021-04-05,2873,2022-03-25
2021-04-04,1545,2022-03-25
2021-04-03,1706,2022-03-25
2021-04-02,2236,2022-03-25
2021-04-01,2333,2022-03-25
2021-03-31,2380,2022-03-25
2021-03-30,2427,2022-03-25
2021-03-29,2703,2022-03-25
2021-03-28,1604,2022-03-25
2021-03-27,1665,2022-03-25
2021-03-26,2264,2022-03-25
2021-03-25,2279,2022-03-25
2021-03-24,2672,2022-03-25
2021-03-23,2507,2022-03-25
2021-03-22,2703,2022-03-25
2021-03-21,1603,2022-03-25
2021-03-20,1716,2022-03-25
2021-03-19,2173,2022-03-25
2021-03-18,2216,2022-03-25
2021-03-17,2640,2022-03-25
2021-03-16,2509,2022-03-25
2021-03-15,2887,2022-03-25
2021-03-14,1595,2022-03-25
2021-03-13,1900,2022-03-25
2021-03-12,2502,2022-03-25
2021-03-11,2591,2022-03-25
2021-03-10,2771,2022-03-25
2021-03-09,2830,2022-03-25
2021-03-08,3338,2022-03-25
2021-03-07,1934,2022-03-25
2021-03-06,2202,2022-03-25
2021-03-05,2929,2022-03-25
2021-03-04,2937,2022-03-25
2021-03-03,3198,2022-03-25
2021-03-02,3261,2022-03-25
2021-03-01,3755,2022-03-25
2021-02-28,2176,2022-03-25
2021-02-27,2525,2022-03-25
2021-02-26,3349,2022-03-25
2021-02-25,3454,2022-03-25
2021-02-24,3876,2022-03-25
2021-02-23,4069,2022-03-25
2021-02-22,4720,2022-03-25
2021-02-21,2632,2022-03-25
2021-02-20,3106,2022-03-25
2021-02-19,4217,2022-03-25
2021-02-18,4410,2022-03-25
2021-02-17,5069,2022-03-25
2021-02-16,5659,2022-03-25
2021-02-15,5250,2022-03-25
2021-02-14,3500,2022-03-25
2021-02-13,4412,2022-03-25
2021-02-12,6206,2022-03-25
2021-02-11,6589,2022-03-25
2021-02-10,7487,2022-03-25
2021-02-09,7737,2022-03-25
2021-02-08,9420,2022-03-25
2021-02-07,5132,2022-03-25
2021-02-06,6655,2022-03-25
2021-02-05,9448,2022-03-25
2021-02-04,10146,2022-03-25
2021-02-03,11534,2022-03-25
2021-02-02,12617,2022-03-25
2021-02-01,15297,2022-03-25
2021-01-31,7965,2022-03-25
2021-01-30,10091,2022-03-25
2021-01-29,12793,2022-03-25
2021-01-28,14569,2022-03-25
2021-01-27,15739,2022-03-25
2021-01-26,17899,2022-03-25
2021-01-25,20192,2022-03-25
2021-01-24,10332,2022-03-25
2021-01-23,13448,2022-03-25
2021-01-22,19798,2022-03-25
2021-01-21,22139,2022-03-25
2021-01-20,25309,2022-03-25
2021-01-19,27552,2022-03-25
2021-01-18,23579,2022-03-25
2021-01-17,13537,2022-03-25
2021-01-16,19890,2022-03-25
2021-01-15,29001,2022-03-25
2021-01-14,31823,2022-03-25
2021-01-13,34576,2022-03-25
2021-01-12,38577,2022-03-25
2021-01-11,42115,2022-03-25
2021-01-10,19050,2022-03-25
2021-01-09,28606,2022-03-25
2021-01-08,41257,2022-03-25
2021-01-07,45229,2022-03-25
2021-01-06,50520,2022-03-25
2021-01-05,54821,2022-03-25
2021-01-04,60373,2022-03-25
2021-01-03,27056,2022-03-25
