test_date,new_positive,issue_date
2021-12-28,0,2021-12-29
2021-12-27,3312,2021-12-29
2021-12-26,10819,2021-12-29
2021-12-25,4013,2021-12-29
2021-12-24,12318,2021-12-29
2021-12-23,27386,2021-12-29
2021-12-22,27602,2021-12-29
2021-12-21,23628,2021-12-29
2021-12-20,19027,2021-12-29
2021-12-19,8075,2021-12-29
2021-12-18,8083,2021-12-29
2021-12-17,9914,2021-12-29
2021-12-16,9456,2021-12-29
2021-12-15,9459,2021-12-29
2021-12-14,7949,2021-12-29
2021-12-13,8530,2021-12-29
2021-12-12,4218,2021-12-29
2021-12-11,4147,2021-12-29
2021-12-10,5807,2021-12-29
2021-12-09,5781,2021-12-29
2021-12-08,6436,2021-12-29
2021-12-07,6407,2021-12-29
2021-12-06,7259,2021-12-29
2021-12-05,3746,2021-12-29
2021-12-04,4070,2021-12-29
2021-12-03,6031,2021-12-29
2021-12-02,6204,2021-12-29
2021-12-01,7376,2021-12-29
2021-11-30,7031,2021-12-29
2021-11-29,8179,2021-12-29
2021-11-28,4359,2021-12-29
2021-11-27,4192,2021-12-29
2021-11-26,4322,2021-12-29
2021-11-25,2259,2021-12-29
2021-11-24,4608,2021-12-29
2021-11-23,4800,2021-12-29
2021-11-22,5175,2021-12-29
2021-11-21,2932,2021-12-29
2021-11-20,3246,2021-12-29
2021-11-19,4563,2021-12-29
2021-11-18,4654,2021-12-29
2021-11-17,5131,2021-12-29
2021-11-16,5391,2021-12-29
2021-11-15,6356,2021-12-29
2021-11-14,3234,2021-12-29
2021-11-13,3427,2021-12-29
2021-11-12,5068,2021-12-29
2021-11-11,4295,2021-12-29
2021-11-10,5597,2021-12-29
2021-11-09,5858,2021-12-29
2021-11-08,6612,2021-12-29
2021-11-07,3450,2021-12-29
2021-11-06,3652,2021-12-29
2021-11-05,5511,2021-12-29
2021-11-04,5992,2021-12-29
2021-11-03,6367,2021-12-29
2021-11-02,6442,2021-12-29
2021-11-01,7346,2021-12-29
2021-10-31,3469,2021-12-29
2021-10-30,3919,2021-12-29
2021-10-29,5609,2021-12-29
2021-10-28,6040,2021-12-29
2021-10-27,6503,2021-12-29
2021-10-26,6746,2021-12-29
2021-10-25,7185,2021-12-29
2021-10-24,3548,2021-12-29
2021-10-23,4033,2021-12-29
2021-10-22,5951,2021-12-29
2021-10-21,5873,2021-12-29
2021-10-20,6196,2021-12-29
2021-10-19,6343,2021-12-29
2021-10-18,7027,2021-12-29
2021-10-17,3553,2021-12-29
2021-10-16,3621,2021-12-29
2021-10-15,5259,2021-12-29
2021-10-14,5254,2021-12-29
2021-10-13,5594,2021-12-29
2021-10-12,5782,2021-12-29
2021-10-11,5777,2021-12-29
2021-10-10,3277,2021-12-29
2021-10-09,3491,2021-12-29
2021-10-08,5147,2021-12-29
2021-10-07,5271,2021-12-29
2021-10-06,5958,2021-12-29
2021-10-05,6200,2021-12-29
2021-10-04,6762,2021-12-29
2021-10-03,3368,2021-12-29
2021-10-02,3660,2021-12-29
2021-10-01,5700,2021-12-29
2021-09-30,5757,2021-12-29
2021-09-29,6175,2021-12-29
2021-09-28,6722,2021-12-29
2021-09-27,7598,2021-12-29
2021-09-26,3725,2021-12-29
2021-09-25,4202,2021-12-29
2021-09-24,6121,2021-12-29
2021-09-23,6448,2021-12-29
2021-09-22,7328,2021-12-29
2021-09-21,7476,2021-12-29
2021-09-20,8793,2021-12-29
2021-09-19,4122,2021-12-29
2021-09-18,4878,2021-12-29
2021-09-17,7274,2021-12-29
2021-09-16,7833,2021-12-29
2021-09-15,8780,2021-12-29
2021-09-14,9411,2021-12-29
2021-09-13,10343,2021-12-29
2021-09-12,5306,2021-12-29
2021-09-11,6198,2021-12-29
2021-09-10,9247,2021-12-29
2021-09-09,10136,2021-12-29
2021-09-08,11244,2021-12-29
2021-09-07,12328,2021-12-29
2021-09-06,6613,2021-12-29
2021-09-05,5323,2021-12-29
2021-09-04,6709,2021-12-29
2021-09-03,9920,2021-12-29
2021-09-02,10898,2021-12-29
2021-09-01,12765,2021-12-29
2021-08-31,12176,2021-12-29
2021-08-30,13182,2021-12-29
2021-08-29,6547,2021-12-29
2021-08-28,7740,2021-12-29
2021-08-27,11177,2021-12-29
2021-08-26,12359,2021-12-29
2021-08-25,13539,2021-12-29
2021-08-24,13978,2021-12-29
2021-08-23,15218,2021-12-29
2021-08-22,7495,2021-12-29
2021-08-21,8825,2021-12-29
2021-08-20,13337,2021-12-29
2021-08-19,13853,2021-12-29
2021-08-18,14964,2021-12-29
2021-08-17,15442,2021-12-29
2021-08-16,16061,2021-12-29
2021-08-15,8146,2021-12-29
2021-08-14,9527,2021-12-29
2021-08-13,13701,2021-12-29
2021-08-12,14542,2021-12-29
2021-08-11,15419,2021-12-29
2021-08-10,16114,2021-12-29
2021-08-09,16226,2021-12-29
2021-08-08,8634,2021-12-29
2021-08-07,9643,2021-12-29
2021-08-06,12840,2021-12-29
2021-08-05,13866,2021-12-29
2021-08-04,14030,2021-12-29
2021-08-03,14300,2021-12-29
2021-08-02,14040,2021-12-29
2021-08-01,8457,2021-12-29
2021-07-31,8463,2021-12-29
2021-07-30,11052,2021-12-29
2021-07-29,11717,2021-12-29
2021-07-28,11787,2021-12-29
2021-07-27,11182,2021-12-29
2021-07-26,11676,2021-12-29
2021-07-25,6395,2021-12-29
2021-07-24,6724,2021-12-29
2021-07-23,8064,2021-12-29
2021-07-22,8258,2021-12-29
2021-07-21,8727,2021-12-29
2021-07-20,8287,2021-12-29
2021-07-19,8335,2021-12-29
2021-07-18,4763,2021-12-29
2021-07-17,4650,2021-12-29
2021-07-16,5943,2021-12-29
2021-07-15,5830,2021-12-29
2021-07-14,5535,2021-12-29
2021-07-13,5359,2021-12-29
2021-07-12,5351,2021-12-29
2021-07-11,3109,2021-12-29
2021-07-10,3120,2021-12-29
2021-07-09,3594,2021-12-29
2021-07-08,3561,2021-12-29
2021-07-07,3745,2021-12-29
2021-07-06,3583,2021-12-29
2021-07-05,2766,2021-12-29
2021-07-04,1550,2021-12-29
2021-07-03,1684,2021-12-29
2021-07-02,2010,2021-12-29
2021-07-01,2154,2021-12-29
2021-06-30,2006,2021-12-29
2021-06-29,1872,2021-12-29
2021-06-28,1929,2021-12-29
2021-06-27,1170,2021-12-29
2021-06-26,1064,2021-12-29
2021-06-25,1305,2021-12-29
2021-06-24,1394,2021-12-29
2021-06-23,1233,2021-12-29
2021-06-22,1298,2021-12-29
2021-06-21,1382,2021-12-29
2021-06-20,791,2021-12-29
2021-06-19,738,2021-12-29
2021-06-18,921,2021-12-29
2021-06-17,1017,2021-12-29
2021-06-16,1061,2021-12-29
2021-06-15,1033,2021-12-29
2021-06-14,1136,2021-12-29
2021-06-13,697,2021-12-29
2021-06-12,663,2021-12-29
2021-06-11,847,2021-12-29
2021-06-10,871,2021-12-29
2021-06-09,915,2021-12-29
2021-06-08,1041,2021-12-29
2021-06-07,1023,2021-12-29
2021-06-06,615,2021-12-29
2021-06-05,646,2021-12-29
2021-06-04,861,2021-12-29
2021-06-03,993,2021-12-29
2021-06-02,1040,2021-12-29
2021-06-01,1212,2021-12-29
2021-05-31,595,2021-12-29
2021-05-30,585,2021-12-29
2021-05-29,601,2021-12-29
2021-05-28,851,2021-12-29
2021-05-27,915,2021-12-29
2021-05-26,963,2021-12-29
2021-05-25,1051,2021-12-29
2021-05-24,1207,2021-12-29
2021-05-23,656,2021-12-29
2021-05-22,701,2021-12-29
2021-05-21,946,2021-12-29
2021-05-20,988,2021-12-29
2021-05-19,1173,2021-12-29
2021-05-18,1214,2021-12-29
2021-05-17,1329,2021-12-29
2021-05-16,808,2021-12-29
2021-05-15,897,2021-12-29
2021-05-14,1165,2021-12-29
2021-05-13,1182,2021-12-29
2021-05-12,1341,2021-12-29
2021-05-11,1451,2021-12-29
2021-05-10,1628,2021-12-29
2021-05-09,935,2021-12-29
2021-05-08,1030,2021-12-29
2021-05-07,1432,2021-12-29
2021-05-06,1515,2021-12-29
2021-05-05,1691,2021-12-29
2021-05-04,1586,2021-12-29
2021-05-03,1955,2021-12-29
2021-05-02,1098,2021-12-29
2021-05-01,1263,2021-12-29
2021-04-30,1634,2021-12-29
2021-04-29,1649,2021-12-29
2021-04-28,1814,2021-12-29
2021-04-27,1862,2021-12-29
2021-04-26,2097,2021-12-29
2021-04-25,1201,2021-12-29
2021-04-24,1358,2021-12-29
2021-04-23,1804,2021-12-29
2021-04-22,1830,2021-12-29
2021-04-21,1977,2021-12-29
2021-04-20,2117,2021-12-29
2021-04-19,2378,2021-12-29
2021-04-18,1416,2021-12-29
2021-04-17,1543,2021-12-29
2021-04-16,2027,2021-12-29
2021-04-15,2106,2021-12-29
2021-04-14,2377,2021-12-29
2021-04-13,2392,2021-12-29
2021-04-12,2698,2021-12-29
2021-04-11,1557,2021-12-29
2021-04-10,1815,2021-12-29
2021-04-09,2255,2021-12-29
2021-04-08,2250,2021-12-29
2021-04-07,2598,2021-12-29
2021-04-06,2534,2021-12-29
2021-04-05,2864,2021-12-29
2021-04-04,1537,2021-12-29
2021-04-03,1691,2021-12-29
2021-04-02,2222,2021-12-29
2021-04-01,2324,2021-12-29
2021-03-31,2358,2021-12-29
