report_date,new_positive,issue_date
2021-10-18,4081,2022-03-18
2021-10-17,16764,2022-03-18
2021-10-16,0,2022-03-18
2021-10-15,0,2022-03-18
2021-10-14,6188,2022-03-18
2021-10-13,3960,2022-03-18
2021-10-12,4034,2022-03-18
2021-10-11,4091,2022-03-18
2021-10-10,16921,2022-03-18
2021-10-09,0,2022-03-18
2021-10-08,0,2022-03-18
2021-10-07,6710,2022-03-18
2021-10-06,4710,2022-03-18
2021-10-05,5386,2022-03-18
2021-10-04,3752,2022-03-18
2021-10-03,18998,2022-03-18
2021-10-02,0,2022-03-18
2021-10-01,0,2022-03-18
2021-09-30,7869,2022-03-18
2021-09-29,5967,2022-03-18
2021-09-28,6493,2022-03-18
2021-09-27,4753,2022-03-18
2021-09-26,22969,2022-03-18
2021-09-25,0,2022-03-18
2021-09-24,0,2022-03-18
2021-09-23,7276,2022-03-18
2021-09-22,6694,2022-03-18
2021-09-21,6579,2022-03-18
2021-09-20,6032,2022-03-18
2021-09-19,6193,2022-03-18
2021-09-18,9038,2022-03-18
2021-09-17,9385,2022-03-18
2021-09-16,9543,2022-03-18
2021-09-15,7360,2022-03-18
2021-09-14,7760,2022-03-18
2021-09-13,11851,2022-03-18
2021-09-12,6842,2022-03-18
2021-09-11,9045,2022-03-18
2021-09-10,13463,2022-03-18
2021-09-09,9244,2022-03-18
2021-09-08,7127,2022-03-18
2021-09-07,7274,2022-03-18
2021-09-06,7523,2022-03-18
2021-09-05,8866,2022-03-18
2021-09-04,14267,2022-03-18
2021-09-03,9318,2022-03-18
2021-09-02,11742,2022-03-18
2021-09-01,10194,2022-03-18
2021-08-31,23387,2022-03-18
2021-08-30,9606,2022-03-18
2021-08-29,14968,2022-03-18
2021-08-28,11828,2022-03-18
2021-08-27,15157,2022-03-18
2021-08-26,13785,2022-03-18
2021-08-25,11769,2022-03-18
2021-08-24,11899,2022-03-18
2021-08-23,10401,2022-03-18
2021-08-22,10274,2022-03-18
2021-08-21,14564,2022-03-18
2021-08-20,13613,2022-03-18
2021-08-19,14716,2022-03-18
2021-08-18,12359,2022-03-18
2021-08-17,14317,2022-03-18
2021-08-16,9748,2022-03-18
2021-08-15,11437,2022-03-18
2021-08-14,13472,2022-03-18
2021-08-13,14479,2022-03-18
2021-08-12,14099,2022-03-18
2021-08-11,10450,2022-03-18
2021-08-10,9925,2022-03-18
2021-08-09,9625,2022-03-18
2021-08-08,10425,2022-03-18
2021-08-07,13271,2022-03-18
2021-08-06,12916,2022-03-18
2021-08-05,14402,2022-03-18
2021-08-04,9517,2022-03-18
2021-08-03,8552,2022-03-18
2021-08-02,7318,2022-03-18
2021-08-01,33407,2022-03-18
2021-07-31,0,2022-03-18
2021-07-30,0,2022-03-18
2021-07-29,10356,2022-03-18
2021-07-28,7457,2022-03-18
2021-07-27,6849,2022-03-18
2021-07-26,7731,2022-03-18
2021-07-25,21940,2022-03-18
2021-07-24,0,2022-03-18
2021-07-23,0,2022-03-18
2021-07-22,7984,2022-03-18
2021-07-21,5577,2022-03-18
2021-07-20,5285,2022-03-18
2021-07-19,4723,2022-03-18
2021-07-18,14097,2022-03-18
2021-07-17,0,2022-03-18
2021-07-16,0,2022-03-18
2021-07-15,4651,2022-03-18
2021-07-14,3622,2022-03-18
2021-07-13,3093,2022-03-18
2021-07-12,3256,2022-03-18
2021-07-11,8910,2022-03-18
2021-07-10,0,2022-03-18
2021-07-09,0,2022-03-18
2021-07-08,2411,2022-03-18
2021-07-07,1416,2022-03-18
2021-07-06,1332,2022-03-18
2021-07-05,5730,2022-03-18
2021-07-04,0,2022-03-18
2021-07-03,0,2022-03-18
2021-07-02,0,2022-03-18
2021-07-01,1792,2022-03-18
2021-06-30,1698,2022-03-18
2021-06-29,-4359,2022-03-18
2021-06-28,762,2022-03-18
2021-06-27,1256,2022-03-18
2021-06-26,2251,2022-03-18
2021-06-25,1683,2022-03-18
2021-06-24,2015,2022-03-18
2021-06-23,1419,2022-03-18
2021-06-22,787,2022-03-18
2021-06-21,635,2022-03-18
2021-06-20,1123,2022-03-18
2021-06-19,956,2022-03-18
2021-06-18,1176,2022-03-18
2021-06-17,1295,2022-03-18
2021-06-16,829,2022-03-18
2021-06-15,699,2022-03-18
2021-06-14,628,2022-03-18
2021-06-13,827,2022-03-18
2021-06-12,942,2022-03-18
2021-06-11,1032,2022-03-18
2021-06-10,1136,2022-03-18
2021-06-09,856,2022-03-18
2021-06-08,846,2022-03-18
2021-06-07,792,2022-03-18
2021-06-06,874,2022-03-18
2021-06-05,1101,2022-03-18
2021-06-04,1157,2022-03-18
2021-06-03,1047,2022-03-18
2021-06-02,773,2022-03-18
2021-06-01,461,2022-03-18
2021-05-31,423,2022-03-18
2021-05-30,644,2022-03-18
2021-05-29,1079,2022-03-18
2021-05-28,1210,2022-03-18
2021-05-27,4864,2022-03-18
2021-05-26,1418,2022-03-18
2021-05-25,1155,2022-03-18
2021-05-24,618,2022-03-18
2021-05-23,1081,2022-03-18
2021-05-22,1308,2022-03-18
2021-05-21,1186,2022-03-18
2021-05-20,1627,2022-03-18
2021-05-19,1292,2022-03-18
2021-05-18,959,2022-03-18
2021-05-17,687,2022-03-18
2021-05-16,995,2022-03-18
2021-05-15,1370,2022-03-18
2021-05-14,1864,2022-03-18
2021-05-13,2034,2022-03-18
2021-05-12,1443,2022-03-18
2021-05-11,1231,2022-03-18
2021-05-10,1045,2022-03-18
2021-05-09,1377,2022-03-18
2021-05-08,1853,2022-03-18
2021-05-07,1945,2022-03-18
2021-05-06,2471,2022-03-18
2021-05-05,1547,2022-03-18
2021-05-04,1388,2022-03-18
2021-05-03,1349,2022-03-18
2021-05-02,1512,2022-03-18
2021-05-01,2254,2022-03-18
2021-04-30,2094,2022-03-18
2021-04-29,1897,2022-03-18
2021-04-28,1457,2022-03-18
2021-04-27,1593,2022-03-18
2021-04-26,1445,2022-03-18
2021-04-25,2116,2022-03-18
2021-04-24,1739,2022-03-18
2021-04-23,1229,2022-03-18
2021-04-22,1818,2022-03-18
2021-04-21,2411,2022-03-18
2021-04-20,2126,2022-03-18
2021-04-19,1606,2022-03-18
2021-04-18,1916,2022-03-18
2021-04-17,2667,2022-03-18
2021-04-16,2763,2022-03-18
2021-04-15,2451,2022-03-18
2021-04-14,2016,2022-03-18
2021-04-13,2487,2022-03-18
2021-04-12,1568,2022-03-18
2021-04-11,2649,2022-03-18
2021-04-10,4954,2022-03-18
2021-04-09,4466,2022-03-18
2021-04-08,2606,2022-03-18
2021-04-07,2093,2022-03-18
2021-04-06,2229,2022-03-18
2021-04-05,1367,2022-03-18
2021-04-04,2112,2022-03-18
2021-04-03,2400,2022-03-18
2021-04-02,4877,2022-03-18
2021-04-01,2414,2022-03-18
2021-03-31,2234,2022-03-18
2021-03-30,1962,2022-03-18
2021-03-29,1996,2022-03-18
2021-03-28,2277,2022-03-18
2021-03-27,2998,2022-03-18
2021-03-26,3278,2022-03-18
2021-03-25,2608,2022-03-18
2021-03-24,2251,2022-03-18
2021-03-23,1955,2022-03-18
2021-03-22,1823,2022-03-18
2021-03-21,2000,2022-03-18
2021-03-20,3350,2022-03-18
2021-03-19,3107,2022-03-18
2021-03-18,3287,2022-03-18
2021-03-17,3038,2022-03-18
2021-03-16,2441,2022-03-18
2021-03-15,1260,2022-03-18
2021-03-14,2460,2022-03-18
2021-03-13,2772,2022-03-18
2021-03-12,3230,2022-03-18
2021-03-11,3471,2022-03-18
2021-03-10,3184,2022-03-18
2021-03-09,6412,2022-03-18
2021-03-08,2614,2022-03-18
2021-03-07,3258,2022-03-18
2021-03-06,3816,2022-03-18
2021-03-05,4452,2022-03-18
2021-03-04,4659,2022-03-18
2021-03-03,3504,2022-03-18
2021-03-02,3352,2022-03-18
2021-03-01,2533,2022-03-18
2021-02-28,3516,2022-03-18
2021-02-27,4685,2022-03-18
2021-02-26,5151,2022-03-18
2021-02-25,5400,2022-03-18
2021-02-24,4965,2022-03-18
2021-02-23,5303,2022-03-18
2021-02-22,3447,2022-03-18
2021-02-21,4665,2022-03-18
2021-02-20,6760,2022-03-18
2021-02-19,6668,2022-03-18
2021-02-18,6798,2022-03-18
2021-02-17,5573,2022-03-18
2021-02-16,4090,2022-03-18
2021-02-15,5692,2022-03-18
2021-02-14,6487,2022-03-18
2021-02-13,8842,2022-03-18
2021-02-12,9421,2022-03-18
2021-02-11,10059,2022-03-18
2021-02-10,8575,2022-03-18
2021-02-09,8390,2022-03-18
2021-02-08,8251,2022-03-18
2021-02-07,10414,2022-03-18
2021-02-06,15064,2022-03-18
2021-02-05,12394,2022-03-18
2021-02-04,14021,2022-03-18
2021-02-03,13176,2022-03-18
2021-02-02,10501,2022-03-18
2021-02-01,12064,2022-03-18
2021-01-31,15358,2022-03-18
2021-01-30,18974,2022-03-18
2021-01-29,18427,2022-03-18
2021-01-28,19337,2022-03-18
2021-01-27,16696,2022-03-18
2021-01-26,16728,2022-03-18
2021-01-25,17028,2022-03-18
2021-01-24,27007,2022-03-18
2021-01-23,24111,2022-03-18
2021-01-22,22972,2022-03-18
2021-01-21,23024,2022-03-18
2021-01-20,19673,2022-03-18
2021-01-19,22403,2022-03-18
2021-01-18,23794,2022-03-18
2021-01-17,30699,2022-03-18
2021-01-16,42229,2022-03-18
2021-01-15,40622,2022-03-18
2021-01-14,42655,2022-03-18
2021-01-13,35930,2022-03-18
2021-01-12,33751,2022-03-18
2021-01-11,36487,2022-03-18
2021-01-10,39839,2022-03-18
2021-01-09,49685,2022-03-18
2021-01-08,52636,2022-03-18
2021-01-07,50030,2022-03-18
2021-01-06,36385,2022-03-18
2021-01-05,29892,2022-03-18
2021-01-04,42631,2022-03-18
2021-01-03,18442,2022-03-18
2021-01-02,45352,2022-03-18
