test_date,new_positive,issue_date
2021-09-23,0,2021-09-26
2021-09-22,623,2021-09-26
2021-09-21,3084,2021-09-26
2021-09-20,6038,2021-09-26
2021-09-19,2409,2021-09-26
2021-09-18,3322,2021-09-26
2021-09-17,6104,2021-09-26
2021-09-16,6989,2021-09-26
2021-09-15,7926,2021-09-26
2021-09-14,8607,2021-09-26
2021-09-13,9686,2021-09-26
2021-09-12,4779,2021-09-26
2021-09-11,5764,2021-09-26
2021-09-10,8884,2021-09-26
2021-09-09,9830,2021-09-26
2021-09-08,11031,2021-09-26
2021-09-07,12018,2021-09-26
2021-09-06,6268,2021-09-26
2021-09-05,5053,2021-09-26
2021-09-04,6520,2021-09-26
2021-09-03,9653,2021-09-26
2021-09-02,10694,2021-09-26
2021-09-01,12468,2021-09-26
2021-08-31,12138,2021-09-26
2021-08-30,13002,2021-09-26
2021-08-29,6388,2021-09-26
2021-08-28,7615,2021-09-26
2021-08-27,11085,2021-09-26
2021-08-26,12289,2021-09-26
2021-08-25,13409,2021-09-26
2021-08-24,13812,2021-09-26
2021-08-23,15117,2021-09-26
2021-08-22,7390,2021-09-26
2021-08-21,8759,2021-09-26
2021-08-20,13199,2021-09-26
2021-08-19,13730,2021-09-26
2021-08-18,14884,2021-09-26
2021-08-17,15209,2021-09-26
2021-08-16,15834,2021-09-26
2021-08-15,8063,2021-09-26
2021-08-14,9491,2021-09-26
2021-08-13,13597,2021-09-26
2021-08-12,14478,2021-09-26
2021-08-11,15298,2021-09-26
2021-08-10,16035,2021-09-26
2021-08-09,16112,2021-09-26
2021-08-08,8546,2021-09-26
2021-08-07,9582,2021-09-26
2021-08-06,12773,2021-09-26
2021-08-05,13704,2021-09-26
2021-08-04,13953,2021-09-26
2021-08-03,14247,2021-09-26
2021-08-02,13926,2021-09-26
2021-08-01,8373,2021-09-26
2021-07-31,8416,2021-09-26
2021-07-30,11008,2021-09-26
2021-07-29,11677,2021-09-26
2021-07-28,11752,2021-09-26
2021-07-27,11151,2021-09-26
2021-07-26,11634,2021-09-26
2021-07-25,6358,2021-09-26
2021-07-24,6693,2021-09-26
2021-07-23,8015,2021-09-26
2021-07-22,8248,2021-09-26
2021-07-21,8699,2021-09-26
2021-07-20,8265,2021-09-26
2021-07-19,8310,2021-09-26
2021-07-18,4736,2021-09-26
2021-07-17,4623,2021-09-26
2021-07-16,5921,2021-09-26
2021-07-15,5809,2021-09-26
2021-07-14,5519,2021-09-26
2021-07-13,5340,2021-09-26
2021-07-12,5320,2021-09-26
2021-07-11,3101,2021-09-26
2021-07-10,3110,2021-09-26
