test_date,new_positive,issue_date
2022-03-29,0,2022-03-30
2022-03-28,226,2022-03-30
2022-03-27,519,2022-03-30
2022-03-26,846,2022-03-30
2022-03-25,1629,2022-03-30
2022-03-24,2076,2022-03-30
2022-03-23,1988,2022-03-30
2022-03-22,2889,2022-03-30
2022-03-21,2493,2022-03-30
2022-03-20,1110,2022-03-30
2022-03-19,1154,2022-03-30
2022-03-18,1904,2022-03-30
2022-03-17,2198,2022-03-30
2022-03-16,2357,2022-03-30
2022-03-15,2494,2022-03-30
2022-03-14,2799,2022-03-30
2022-03-13,1220,2022-03-30
2022-03-12,1461,2022-03-30
2022-03-11,2261,2022-03-30
2022-03-10,2515,2022-03-30
2022-03-09,2964,2022-03-30
2022-03-08,3248,2022-03-30
2022-03-07,3779,2022-03-30
2022-03-06,1762,2022-03-30
2022-03-05,2043,2022-03-30
2022-03-04,3112,2022-03-30
2022-03-03,3543,2022-03-30
2022-03-02,3928,2022-03-30
2022-03-01,4636,2022-03-30
2022-02-28,5208,2022-03-30
2022-02-27,2349,2022-03-30
2022-02-26,2675,2022-03-30
2022-02-25,4747,2022-03-30
2022-02-24,5125,2022-03-30
2022-02-23,5569,2022-03-30
2022-02-22,7106,2022-03-30
2022-02-21,5331,2022-03-30
2022-02-20,3584,2022-03-30
2022-02-19,4172,2022-03-30
2022-02-18,7028,2022-03-30
2022-02-17,8104,2022-03-30
2022-02-16,9344,2022-03-30
2022-02-15,10852,2022-03-30
2022-02-14,12803,2022-03-30
2022-02-13,5549,2022-03-30
2022-02-12,7129,2022-03-30
2022-02-11,13718,2022-03-30
2022-02-10,14081,2022-03-30
2022-02-09,16080,2022-03-30
2022-02-08,17802,2022-03-30
2022-02-07,22234,2022-03-30
2022-02-06,9777,2022-03-30
2022-02-05,11621,2022-03-30
2022-02-04,21671,2022-03-30
2022-02-03,23754,2022-03-30
2022-02-02,27031,2022-03-30
2022-02-01,32411,2022-03-30
2022-01-31,38207,2022-03-30
2022-01-30,15360,2022-03-30
2022-01-29,20780,2022-03-30
2022-01-28,38558,2022-03-30
2022-01-27,43863,2022-03-30
2022-01-26,51528,2022-03-30
2022-01-25,59660,2022-03-30
2022-01-24,69974,2022-03-30
2022-01-23,28143,2022-03-30
2022-01-22,39600,2022-03-30
2022-01-21,76694,2022-03-30
2022-01-20,89179,2022-03-30
2022-01-19,100369,2022-03-30
2022-01-18,118991,2022-03-30
2022-01-17,80757,2022-03-30
2022-01-16,39994,2022-03-30
2022-01-15,57994,2022-03-30
2022-01-14,103293,2022-03-30
2022-01-13,113374,2022-03-30
2022-01-12,125523,2022-03-30
2022-01-11,134115,2022-03-30
2022-01-10,140374,2022-03-30
2022-01-09,55458,2022-03-30
2022-01-08,76293,2022-03-30
2022-01-07,133987,2022-03-30
2022-01-06,142130,2022-03-30
2022-01-05,153745,2022-03-30
2022-01-04,155551,2022-03-30
2022-01-03,138965,2022-03-30
2022-01-02,56220,2022-03-30
2022-01-01,32489,2022-03-30
2021-12-31,54362,2022-03-30
2021-12-30,85456,2022-03-30
