test_date,total_positive,new_positive,confirmed_case_7d_avg,issue_date
2020-01-29,1,1,NA,2021-03-22
2020-01-30,1,0,NA,2021-03-22
2020-01-31,1,0,NA,2021-03-22
2020-02-01,1,0,NA,2021-03-22
2020-02-02,1,0,NA,2021-03-22
2020-02-03,1,0,NA,2021-03-22
2020-02-04,1,0,0.142857143,2021-03-22
2020-02-05,1,0,0,2021-03-22
2020-02-06,2,1,0.142857143,2021-03-22
2020-02-07,2,0,0.142857143,2021-03-22
2020-02-08,2,0,0.142857143,2021-03-22
2020-02-09,2,0,0.142857143,2021-03-22
2020-02-10,2,0,0.142857143,2021-03-22
2020-02-11,2,0,0.142857143,2021-03-22
2020-02-12,2,0,0.142857143,2021-03-22
2020-02-13,2,0,0,2021-03-22
2020-02-14,2,0,0,2021-03-22
2020-02-15,2,0,0,2021-03-22
2020-02-16,2,0,0,2021-03-22
2020-02-17,2,0,0,2021-03-22
2020-02-18,2,0,0,2021-03-22
2020-02-19,2,0,0,2021-03-22
2020-02-20,2,0,0,2021-03-22
2020-02-21,2,0,0,2021-03-22
2020-02-22,2,0,0,2021-03-22
2020-02-23,2,0,0,2021-03-22
2020-02-24,2,0,0,2021-03-22
2020-02-25,2,0,0,2021-03-22
2020-02-26,2,0,0,2021-03-22
2020-02-27,2,0,0,2021-03-22
2020-02-28,2,0,0,2021-03-22
2020-02-29,2,0,0,2021-03-22
2020-03-01,3,1,0.142857143,2021-03-22
2020-03-02,3,0,0.142857143,2021-03-22
2020-03-03,4,1,0.285714286,2021-03-22
2020-03-04,6,2,0.571428571,2021-03-22
2020-03-05,14,8,1.714285714,2021-03-22
2020-03-06,28,14,3.714285714,2021-03-22
2020-03-07,72,44,10,2021-03-22
2020-03-08,91,19,12.57142857,2021-03-22
2020-03-09,96,5,13.28571429,2021-03-22
2020-03-10,110,14,15.14285714,2021-03-22
2020-03-11,132,22,18,2021-03-22
2020-03-12,161,29,21,2021-03-22
2020-03-13,222,61,27.71428571,2021-03-22
2020-03-14,295,73,31.85714286,2021-03-22
2020-03-15,363,68,38.85714286,2021-03-22
2020-03-16,513,150,59.57142857,2021-03-22
2020-03-17,762,249,93.14285714,2021-03-22
2020-03-18,1021,259,127,2021-03-22
2020-03-19,1300,279,162.5714286,2021-03-22
2020-03-20,1688,388,209.2857143,2021-03-22
2020-03-21,2010,322,244.8571429,2021-03-22
2020-03-22,2296,286,276,2021-03-22
2020-03-23,2905,609,341.5714286,2021-03-22
2020-03-24,3623,718,408.5714286,2021-03-22
2020-03-25,4370,747,478.1428571,2021-03-22
2020-03-26,5305,935,572,2021-03-22
2020-03-27,6248,943,651.2857143,2021-03-22
2020-03-28,6902,654,698.7142857,2021-03-22
2020-03-29,7425,523,732.5714286,2021-03-22
2020-03-30,8663,1238,822.4285714,2021-03-22
2020-03-31,9929,1266,900.7142857,2021-03-22
2020-04-01,11267,1338,985.2857143,2021-03-22
2020-04-02,12542,1275,1033.857143,2021-03-22
2020-04-03,14021,1479,1110.571429,2021-03-22
2020-04-04,15183,1162,1183.142857,2021-03-22
2020-04-05,16160,977,1248,2021-03-22
2020-04-06,18092,1932,1347.142857,2021-03-22
2020-04-07,20112,2020,1455,2021-03-22
2020-04-08,21976,1864,1530.142857,2021-03-22
2020-04-09,23954,1978,1630.571429,2021-03-22
2020-04-10,26009,2055,1712.714286,2021-03-22
2020-04-11,27337,1328,1736.571429,2021-03-22
2020-04-12,28268,931,1729.857143,2021-03-22
2020-04-13,30254,1986,1737.571429,2021-03-22
2020-04-14,33181,2927,1867,2021-03-22
2020-04-15,35721,2540,1963.571429,2021-03-22
2020-04-16,38108,2387,2021.857143,2021-03-22
2020-04-17,41097,2989,2155.285714,2021-03-22
2020-04-18,42577,1480,2176.857143,2021-03-22
2020-04-19,43666,1089,2199.571429,2021-03-22
2020-04-20,46351,2685,2299.428571,2021-03-22
2020-04-21,48536,2185,2193.571429,2021-03-22
2020-04-22,51239,2703,2216.857143,2021-03-22
2020-04-23,53644,2405,2219.571429,2021-03-22
2020-04-24,55916,2272,2117.428571,2021-03-22
2020-04-25,57408,1492,2119.142857,2021-03-22
2020-04-26,58252,844,2084.142857,2021-03-22
2020-04-27,60380,2128,2004.571429,2021-03-22
2020-04-28,62483,2103,1992.714286,2021-03-22
2020-04-29,64668,2185,1918.714286,2021-03-22
2020-04-30,66715,2047,1867.571429,2021-03-22
2020-05-01,68796,2081,1840,2021-03-22
2020-05-02,69825,1029,1773.857143,2021-03-22
2020-05-03,70558,733,1758,2021-03-22
2020-05-04,72435,1877,1722.285714,2021-03-22
2020-05-05,74167,1732,1669.428571,2021-03-22
2020-05-06,75864,1697,1599.857143,2021-03-22
2020-05-07,77539,1675,1547,2021-03-22
2020-05-08,78990,1451,1457.285714,2021-03-22
2020-05-09,79672,682,1407.714286,2021-03-22
2020-05-10,80057,385,1358,2021-03-22
2020-05-11,81360,1303,1276.142857,2021-03-22
2020-05-12,82810,1450,1235.714286,2021-03-22
2020-05-13,84121,1311,1180.428571,2021-03-22
2020-05-14,85435,1314,1128.714286,2021-03-22
2020-05-15,86538,1103,1079,2021-03-22
2020-05-16,87183,645,1073.714286,2021-03-22
2020-05-17,87546,363,1070.571429,2021-03-22
2020-05-18,88856,1310,1071.428571,2021-03-22
2020-05-19,89928,1072,1017.571429,2021-03-22
2020-05-20,90939,1011,974.7142857,2021-03-22
2020-05-21,91902,963,924.4285714,2021-03-22
2020-05-22,92764,862,889.7142857,2021-03-22
2020-05-23,93150,386,852.8571429,2021-03-22
2020-05-24,93451,301,844,2021-03-22
2020-05-25,93649,198,685,2021-03-22
2020-05-26,94513,864,655.1428571,2021-03-22
2020-05-27,95199,686,608.8571429,2021-03-22
2020-05-28,95838,639,562.5714286,2021-03-22
2020-05-29,96368,530,515.1428571,2021-03-22
2020-05-30,96638,270,498.5714286,2021-03-22
2020-05-31,96799,161,478.5714286,2021-03-22
2020-06-01,97307,508,522.8571429,2021-03-22
2020-06-02,97754,447,463.2857143,2021-03-22
2020-06-03,98213,459,430.7142857,2021-03-22
2020-06-04,98591,378,393.4285714,2021-03-22
2020-06-05,98928,337,365.8571429,2021-03-22
2020-06-06,99076,148,348.2857143,2021-03-22
2020-06-07,99227,151,346.8571429,2021-03-22
2020-06-08,99577,350,324.5714286,2021-03-22
2020-06-09,99918,341,309.7142857,2021-03-22
2020-06-10,100177,259,281.1428571,2021-03-22
2020-06-11,100403,226,259.4285714,2021-03-22
2020-06-12,100657,254,247.5714286,2021-03-22
2020-06-13,100753,96,240.2857143,2021-03-22
2020-06-14,100829,76,229.5714286,2021-03-22
2020-06-15,101065,236,212.8571429,2021-03-22
2020-06-16,101263,198,192.1428571,2021-03-22
2020-06-17,101511,248,190.5714286,2021-03-22
2020-06-18,101751,240,192.5714286,2021-03-22
2020-06-19,101926,175,181.2857143,2021-03-22
2020-06-20,102019,93,180.7142857,2021-03-22
2020-06-21,102098,79,181.1428571,2021-03-22
2020-06-22,102322,224,179.5714286,2021-03-22
2020-06-23,102511,189,178.2857143,2021-03-22
2020-06-24,102721,210,172.8571429,2021-03-22
2020-06-25,102927,206,168,2021-03-22
2020-06-26,103125,198,171.2857143,2021-03-22
2020-06-27,103259,134,177.1428571,2021-03-22
2020-06-28,103330,71,176,2021-03-22
2020-06-29,103535,205,173.2857143,2021-03-22
2020-06-30,103755,220,177.7142857,2021-03-22
2020-07-01,103971,216,178.5714286,2021-03-22
2020-07-02,104197,226,181.4285714,2021-03-22
2020-07-03,104296,99,167.2857143,2021-03-22
2020-07-04,104356,60,156.7142857,2021-03-22
2020-07-05,104457,101,161,2021-03-22
2020-07-06,104694,237,165.5714286,2021-03-22
2020-07-07,104935,241,168.5714286,2021-03-22
2020-07-08,105151,216,168.5714286,2021-03-22
2020-07-09,105405,254,172.5714286,2021-03-22
2020-07-10,105633,228,191,2021-03-22
2020-07-11,105750,117,199.1428571,2021-03-22
2020-07-12,105837,87,197.1428571,2021-03-22
2020-07-13,106103,266,201.2857143,2021-03-22
2020-07-14,106335,232,200,2021-03-22
2020-07-15,106633,298,211.7142857,2021-03-22
2020-07-16,106878,245,210.2857143,2021-03-22
2020-07-17,107105,227,210.1428571,2021-03-22
2020-07-18,107233,128,211.7142857,2021-03-22
2020-07-19,107307,74,209.8571429,2021-03-22
2020-07-20,107586,279,211.7142857,2021-03-22
2020-07-21,107841,255,215,2021-03-22
2020-07-22,108099,258,209.2857143,2021-03-22
2020-07-23,108357,258,211.2857143,2021-03-22
2020-07-24,108614,257,215.5714286,2021-03-22
2020-07-25,108773,159,220,2021-03-22
2020-07-26,108873,100,223.8571429,2021-03-22
2020-07-27,109234,361,235.5714286,2021-03-22
2020-07-28,109554,320,244.8571429,2021-03-22
2020-07-29,109873,319,253.5714286,2021-03-22
2020-07-30,110209,336,264.7142857,2021-03-22
2020-07-31,110528,319,273.5714286,2021-03-22
2020-08-01,110676,148,271.8571429,2021-03-22
2020-08-02,110783,107,273,2021-03-22
2020-08-03,111141,358,272.5714286,2021-03-22
2020-08-04,111448,307,270.8571429,2021-03-22
2020-08-05,111781,333,272.8571429,2021-03-22
2020-08-06,112135,354,275.4285714,2021-03-22
2020-08-07,112434,299,272.5714286,2021-03-22
2020-08-08,112603,169,275.7142857,2021-03-22
2020-08-09,112688,85,272.2857143,2021-03-22
2020-08-10,113060,372,274.5714286,2021-03-22
2020-08-11,113344,284,271.1428571,2021-03-22
2020-08-12,113648,304,267,2021-03-22
2020-08-13,113997,349,266.2857143,2021-03-22
2020-08-14,114340,343,272.4285714,2021-03-22
2020-08-15,114491,151,269.8571429,2021-03-22
2020-08-16,114611,120,274.8571429,2021-03-22
2020-08-17,114980,369,274.1428571,2021-03-22
2020-08-18,115360,380,288,2021-03-22
2020-08-19,115696,336,292.7142857,2021-03-22
2020-08-20,116053,357,293.7142857,2021-03-22
2020-08-21,116336,283,285.2857143,2021-03-22
2020-08-22,116484,148,284.8571429,2021-03-22
2020-08-23,116576,92,280.8571429,2021-03-22
2020-08-24,116971,395,284.7142857,2021-03-22
2020-08-25,117349,378,284.4285714,2021-03-22
2020-08-26,117729,380,290.4285714,2021-03-22
2020-08-27,118073,344,288.7142857,2021-03-22
2020-08-28,118436,363,300.1428571,2021-03-22
2020-08-29,118608,172,303.5714286,2021-03-22
2020-08-30,118747,139,310.2857143,2021-03-22
2020-08-31,119186,439,316.2857143,2021-03-22
2020-09-01,119582,396,318.5714286,2021-03-22
2020-09-02,119966,384,319.2857143,2021-03-22
2020-09-03,120430,464,336.4285714,2021-03-22
2020-09-04,120776,346,334.2857143,2021-03-22
2020-09-05,120974,198,338,2021-03-22
2020-09-06,121087,113,334.1428571,2021-03-22
2020-09-07,121248,161,294.5714286,2021-03-22
2020-09-08,121794,546,316.2857143,2021-03-22
2020-09-09,122269,475,329.1428571,2021-03-22
2020-09-10,122681,412,321.2857143,2021-03-22
2020-09-11,123090,409,330,2021-03-22
2020-09-12,123279,189,328.7142857,2021-03-22
2020-09-13,123440,161,335.7142857,2021-03-22
2020-09-14,123943,503,384.5714286,2021-03-22
2020-09-15,124367,424,367,2021-03-22
2020-09-16,124780,413,358.2857143,2021-03-22
2020-09-17,125134,354,350.5714286,2021-03-22
2020-09-18,125570,436,354.4285714,2021-03-22
2020-09-19,125772,202,356.2857143,2021-03-22
2020-09-20,125913,141,353.4285714,2021-03-22
2020-09-21,126340,427,342.5714286,2021-03-22
2020-09-22,126848,508,354.5714286,2021-03-22
2020-09-23,127408,560,375.5714286,2021-03-22
2020-09-24,128004,596,410.1428571,2021-03-22
2020-09-25,128557,553,426.8571429,2021-03-22
2020-09-26,128920,363,450,2021-03-22
2020-09-27,129145,225,461.8571429,2021-03-22
2020-09-28,130011,866,524.7142857,2021-03-22
2020-09-29,130731,720,555,2021-03-22
2020-09-30,131344,613,562.5714286,2021-03-22
2020-10-01,132028,684,574.8571429,2021-03-22
2020-10-02,132593,565,576.5714286,2021-03-22
2020-10-03,133001,408,582.8571429,2021-03-22
2020-10-04,133293,292,592.5714286,2021-03-22
2020-10-05,134043,750,575.8571429,2021-03-22
2020-10-06,134779,736,577.8571429,2021-03-22
2020-10-07,135501,722,593.2857143,2021-03-22
2020-10-08,136336,835,614.8571429,2021-03-22
2020-10-09,137024,688,632.5714286,2021-03-22
2020-10-10,137436,412,633.2857143,2021-03-22
2020-10-11,137700,264,629.2857143,2021-03-22
2020-10-12,138293,593,606.8571429,2021-03-22
2020-10-13,139078,785,614.2857143,2021-03-22
2020-10-14,139975,897,639.7142857,2021-03-22
2020-10-15,140925,950,656.2857143,2021-03-22
2020-10-16,141791,866,681.5714286,2021-03-22
2020-10-17,142334,543,700.2857143,2021-03-22
2020-10-18,142665,331,709.8571429,2021-03-22
2020-10-19,143744,1079,779.2857143,2021-03-22
2020-10-20,144862,1118,826.8571429,2021-03-22
2020-10-21,146063,1201,869.8571429,2021-03-22
2020-10-22,147437,1374,930.7142857,2021-03-22
2020-10-23,148659,1222,981.8571429,2021-03-22
2020-10-24,149448,789,1016.857143,2021-03-22
2020-10-25,149931,483,1038.714286,2021-03-22
2020-10-26,151453,1522,1102.428571,2021-03-22
2020-10-27,152797,1344,1134.714286,2021-03-22
2020-10-28,154235,1438,1169,2021-03-22
2020-10-29,155620,1385,1170.285714,2021-03-22
2020-10-30,156744,1124,1156.142857,2021-03-22
2020-10-31,157614,870,1167.857143,2021-03-22
2020-11-01,158136,522,1173.285714,2021-03-22
2020-11-02,159970,1834,1218,2021-03-22
2020-11-03,161875,1905,1298,2021-03-22
2020-11-04,164047,2172,1402.857143,2021-03-22
2020-11-05,166462,2415,1550.142857,2021-03-22
2020-11-06,168700,2238,1709,2021-03-22
2020-11-07,170028,1328,1774,2021-03-22
2020-11-08,170970,942,1834.142857,2021-03-22
2020-11-09,174143,3173,2025.428571,2021-03-22
2020-11-10,176965,2822,2156.285714,2021-03-22
2020-11-11,179627,2662,2225.714286,2021-03-22
2020-11-12,182610,2983,2307,2021-03-22
2020-11-13,185212,2602,2359.714286,2021-03-22
2020-11-14,186923,1711,2414.571429,2021-03-22
2020-11-15,188114,1191,2450.142857,2021-03-22
2020-11-16,191639,3525,2499.857143,2021-03-22
2020-11-17,194774,3135,2544.714286,2021-03-22
2020-11-18,197694,2920,2582.428571,2021-03-22
2020-11-19,200692,2998,2584.571429,2021-03-22
2020-11-20,203539,2847,2619.142857,2021-03-22
2020-11-21,205303,1764,2627.428571,2021-03-22
2020-11-22,206497,1194,2627.285714,2021-03-22
2020-11-23,210085,3588,2636.714286,2021-03-22
2020-11-24,213875,3790,2729.714286,2021-03-22
2020-11-25,216817,2942,2732,2021-03-22
2020-11-26,217262,445,2367,2021-03-22
2020-11-27,220641,3379,2443.285714,2021-03-22
2020-11-28,223548,2907,2605.714286,2021-03-22
2020-11-29,225310,1762,2686.714286,2021-03-22
2020-11-30,230815,5505,2959.571429,2021-03-22
2020-12-01,236682,5867,3255.285714,2021-03-22
2020-12-02,242772,6090,3703,2021-03-22
2020-12-03,248586,5814,4462.142857,2021-03-22
2020-12-04,253891,5305,4732.857143,2021-03-22
2020-12-05,256078,2187,4629.142857,2021-03-22
2020-12-06,258177,2099,4678.142857,2021-03-22
2020-12-07,264389,6212,4778.428571,2021-03-22
2020-12-08,269790,5401,4712.142857,2021-03-22
2020-12-09,275211,5421,4615.428571,2021-03-22
2020-12-10,280673,5462,4571.857143,2021-03-22
2020-12-11,285614,4941,4523,2021-03-22
2020-12-12,288478,2864,4621.571429,2021-03-22
2020-12-13,290680,2202,4635.142857,2021-03-22
2020-12-14,296952,6272,4642.142857,2021-03-22
2020-12-15,302947,5995,4727.714286,2021-03-22
2020-12-16,308596,5649,4760.428571,2021-03-22
2020-12-17,310171,1575,4204.142857,2021-03-22
2020-12-18,315861,5690,4304.428571,2021-03-22
2020-12-19,319511,3650,4410.857143,2021-03-22
2020-12-20,321843,2332,4423.142857,2021-03-22
2020-12-21,328321,6478,4441.142857,2021-03-22
2020-12-22,334262,5941,4404.285714,2021-03-22
2020-12-23,338730,4468,4166.714286,2021-03-22
