test_date,new_positive,issue_date
2022-02-06,0,2022-02-07
2022-02-05,1065,2022-02-07
2022-02-04,10863,2022-02-07
2022-02-03,18023,2022-02-07
2022-02-02,22177,2022-02-07
2022-02-01,23340,2022-02-07
2022-01-31,29738,2022-02-07
2022-01-30,12986,2022-02-07
2022-01-29,19067,2022-02-07
2022-01-28,37241,2022-02-07
2022-01-27,43046,2022-02-07
2022-01-26,51195,2022-02-07
2022-01-25,59039,2022-02-07
2022-01-24,68602,2022-02-07
2022-01-23,26537,2022-02-07
2022-01-22,38389,2022-02-07
2022-01-21,75637,2022-02-07
2022-01-20,89021,2022-02-07
2022-01-19,98983,2022-02-07
2022-01-18,117819,2022-02-07
2022-01-17,78423,2022-02-07
2022-01-16,37616,2022-02-07
2022-01-15,55730,2022-02-07
2022-01-14,102033,2022-02-07
2022-01-13,111610,2022-02-07
2022-01-12,121779,2022-02-07
2022-01-11,130060,2022-02-07
2022-01-10,135942,2022-02-07
2022-01-09,52711,2022-02-07
2022-01-08,73537,2022-02-07
2022-01-07,131038,2022-02-07
2022-01-06,138444,2022-02-07
2022-01-05,149162,2022-02-07
2022-01-04,151121,2022-02-07
2022-01-03,133486,2022-02-07
2022-01-02,53435,2022-02-07
2022-01-01,30270,2022-02-07
2021-12-31,52021,2022-02-07
2021-12-30,83495,2022-02-07
2021-12-29,87266,2022-02-07
2021-12-28,86238,2022-02-07
2021-12-27,73041,2022-02-07
2021-12-26,34216,2022-02-07
2021-12-25,13798,2022-02-07
2021-12-24,21227,2022-02-07
2021-12-23,31575,2022-02-07
2021-12-22,31090,2022-02-07
2021-12-21,26802,2022-02-07
2021-12-20,22705,2022-02-07
2021-12-19,10508,2022-02-07
2021-12-18,9585,2022-02-07
2021-12-17,11006,2022-02-07
2021-12-16,10115,2022-02-07
2021-12-15,9989,2022-02-07
2021-12-14,8282,2022-02-07
2021-12-13,8834,2022-02-07
2021-12-12,4350,2022-02-07
2021-12-11,4220,2022-02-07
2021-12-10,5768,2022-02-07
2021-12-09,5752,2022-02-07
2021-12-08,6496,2022-02-07
2021-12-07,6537,2022-02-07
2021-12-06,7426,2022-02-07
2021-12-05,3867,2022-02-07
2021-12-04,4169,2022-02-07
2021-12-03,6152,2022-02-07
2021-12-02,6324,2022-02-07
2021-12-01,7504,2022-02-07
2021-11-30,7084,2022-02-07
2021-11-29,8286,2022-02-07
2021-11-28,4412,2022-02-07
2021-11-27,4225,2022-02-07
2021-11-26,4354,2022-02-07
2021-11-25,2292,2022-02-07
2021-11-24,4654,2022-02-07
2021-11-23,4837,2022-02-07
2021-11-22,5212,2022-02-07
2021-11-21,2946,2022-02-07
2021-11-20,3260,2022-02-07
2021-11-19,4583,2022-02-07
2021-11-18,4664,2022-02-07
2021-11-17,5147,2022-02-07
2021-11-16,5398,2022-02-07
2021-11-15,6380,2022-02-07
2021-11-14,3238,2022-02-07
2021-11-13,3430,2022-02-07
2021-11-12,5096,2022-02-07
2021-11-11,4304,2022-02-07
2021-11-10,5602,2022-02-07
2021-11-09,5883,2022-02-07
2021-11-08,6620,2022-02-07
2021-11-07,3462,2022-02-07
2021-11-06,3659,2022-02-07
2021-11-05,5526,2022-02-07
2021-11-04,6010,2022-02-07
2021-11-03,6394,2022-02-07
2021-11-02,6477,2022-02-07
2021-11-01,7366,2022-02-07
2021-10-31,3480,2022-02-07
2021-10-30,3926,2022-02-07
2021-10-29,5625,2022-02-07
2021-10-28,6068,2022-02-07
2021-10-27,6538,2022-02-07
2021-10-26,6766,2022-02-07
2021-10-25,7192,2022-02-07
2021-10-24,3553,2022-02-07
2021-10-23,4040,2022-02-07
2021-10-22,5969,2022-02-07
2021-10-21,5880,2022-02-07
2021-10-20,6205,2022-02-07
2021-10-19,6354,2022-02-07
2021-10-18,7046,2022-02-07
2021-10-17,3555,2022-02-07
2021-10-16,3630,2022-02-07
2021-10-15,5282,2022-02-07
2021-10-14,5283,2022-02-07
2021-10-13,5620,2022-02-07
2021-10-12,5794,2022-02-07
2021-10-11,5789,2022-02-07
2021-10-10,3282,2022-02-07
2021-10-09,3504,2022-02-07
2021-10-08,5165,2022-02-07
2021-10-07,5292,2022-02-07
2021-10-06,5982,2022-02-07
2021-10-05,6225,2022-02-07
2021-10-04,6776,2022-02-07
2021-10-03,3374,2022-02-07
2021-10-02,3670,2022-02-07
2021-10-01,5719,2022-02-07
2021-09-30,5764,2022-02-07
2021-09-29,6209,2022-02-07
2021-09-28,6737,2022-02-07
2021-09-27,7612,2022-02-07
2021-09-26,3739,2022-02-07
2021-09-25,4209,2022-02-07
2021-09-24,6138,2022-02-07
2021-09-23,6460,2022-02-07
2021-09-22,7362,2022-02-07
2021-09-21,7492,2022-02-07
2021-09-20,8808,2022-02-07
2021-09-19,4139,2022-02-07
2021-09-18,4884,2022-02-07
2021-09-17,7301,2022-02-07
2021-09-16,7844,2022-02-07
2021-09-15,8825,2022-02-07
2021-09-14,9428,2022-02-07
2021-09-13,10376,2022-02-07
2021-09-12,5322,2022-02-07
2021-09-11,6215,2022-02-07
2021-09-10,9261,2022-02-07
2021-09-09,10153,2022-02-07
2021-09-08,11285,2022-02-07
2021-09-07,12357,2022-02-07
2021-09-06,6633,2022-02-07
2021-09-05,5334,2022-02-07
2021-09-04,6733,2022-02-07
2021-09-03,9933,2022-02-07
2021-09-02,10936,2022-02-07
2021-09-01,12821,2022-02-07
2021-08-31,12215,2022-02-07
2021-08-30,13233,2022-02-07
2021-08-29,6573,2022-02-07
2021-08-28,7773,2022-02-07
2021-08-27,11221,2022-02-07
2021-08-26,12382,2022-02-07
2021-08-25,13572,2022-02-07
2021-08-24,14004,2022-02-07
2021-08-23,15248,2022-02-07
2021-08-22,7503,2022-02-07
2021-08-21,8837,2022-02-07
2021-08-20,13355,2022-02-07
2021-08-19,13865,2022-02-07
2021-08-18,14985,2022-02-07
2021-08-17,15467,2022-02-07
2021-08-16,16083,2022-02-07
2021-08-15,8144,2022-02-07
2021-08-14,9542,2022-02-07
2021-08-13,13716,2022-02-07
2021-08-12,14557,2022-02-07
2021-08-11,15451,2022-02-07
2021-08-10,16142,2022-02-07
2021-08-09,16253,2022-02-07
2021-08-08,8649,2022-02-07
2021-08-07,9647,2022-02-07
2021-08-06,12860,2022-02-07
2021-08-05,13874,2022-02-07
2021-08-04,14059,2022-02-07
2021-08-03,14319,2022-02-07
2021-08-02,14076,2022-02-07
2021-08-01,8473,2022-02-07
2021-07-31,8479,2022-02-07
2021-07-30,11070,2022-02-07
2021-07-29,11730,2022-02-07
2021-07-28,11809,2022-02-07
2021-07-27,11198,2022-02-07
2021-07-26,11692,2022-02-07
2021-07-25,6394,2022-02-07
2021-07-24,6722,2022-02-07
2021-07-23,8080,2022-02-07
2021-07-22,8267,2022-02-07
2021-07-21,8743,2022-02-07
2021-07-20,8302,2022-02-07
2021-07-19,8353,2022-02-07
2021-07-18,4775,2022-02-07
2021-07-17,4662,2022-02-07
2021-07-16,5941,2022-02-07
2021-07-15,5842,2022-02-07
2021-07-14,5536,2022-02-07
2021-07-13,5371,2022-02-07
2021-07-12,5362,2022-02-07
2021-07-11,3115,2022-02-07
2021-07-10,3124,2022-02-07
2021-07-09,3611,2022-02-07
2021-07-08,3574,2022-02-07
2021-07-07,3756,2022-02-07
2021-07-06,3592,2022-02-07
2021-07-05,2778,2022-02-07
2021-07-04,1551,2022-02-07
2021-07-03,1685,2022-02-07
2021-07-02,2018,2022-02-07
2021-07-01,2160,2022-02-07
2021-06-30,2012,2022-02-07
2021-06-29,1875,2022-02-07
2021-06-28,1930,2022-02-07
2021-06-27,1171,2022-02-07
2021-06-26,1066,2022-02-07
2021-06-25,1309,2022-02-07
2021-06-24,1396,2022-02-07
2021-06-23,1234,2022-02-07
2021-06-22,1308,2022-02-07
2021-06-21,1387,2022-02-07
2021-06-20,794,2022-02-07
2021-06-19,743,2022-02-07
2021-06-18,924,2022-02-07
2021-06-17,1023,2022-02-07
2021-06-16,1066,2022-02-07
2021-06-15,1041,2022-02-07
2021-06-14,1145,2022-02-07
2021-06-13,702,2022-02-07
2021-06-12,672,2022-02-07
2021-06-11,849,2022-02-07
2021-06-10,874,2022-02-07
2021-06-09,926,2022-02-07
2021-06-08,1049,2022-02-07
2021-06-07,1030,2022-02-07
2021-06-06,615,2022-02-07
2021-06-05,648,2022-02-07
2021-06-04,866,2022-02-07
2021-06-03,996,2022-02-07
2021-06-02,1041,2022-02-07
2021-06-01,1214,2022-02-07
2021-05-31,598,2022-02-07
2021-05-30,585,2022-02-07
2021-05-29,604,2022-02-07
2021-05-28,859,2022-02-07
2021-05-27,918,2022-02-07
2021-05-26,968,2022-02-07
2021-05-25,1058,2022-02-07
2021-05-24,1214,2022-02-07
2021-05-23,657,2022-02-07
2021-05-22,703,2022-02-07
2021-05-21,951,2022-02-07
2021-05-20,994,2022-02-07
2021-05-19,1187,2022-02-07
2021-05-18,1223,2022-02-07
2021-05-17,1333,2022-02-07
2021-05-16,809,2022-02-07
2021-05-15,900,2022-02-07
2021-05-14,1168,2022-02-07
2021-05-13,1190,2022-02-07
2021-05-12,1344,2022-02-07
2021-05-11,1458,2022-02-07
2021-05-10,1630,2022-02-07
2021-05-09,934,2022-02-07
2021-05-08,1033,2022-02-07
2021-05-07,1436,2022-02-07
2021-05-06,1516,2022-02-07
2021-05-05,1690,2022-02-07
2021-05-04,1589,2022-02-07
2021-05-03,1961,2022-02-07
2021-05-02,1100,2022-02-07
2021-05-01,1263,2022-02-07
2021-04-30,1637,2022-02-07
2021-04-29,1654,2022-02-07
2021-04-28,1822,2022-02-07
2021-04-27,1865,2022-02-07
2021-04-26,2105,2022-02-07
2021-04-25,1206,2022-02-07
2021-04-24,1361,2022-02-07
2021-04-23,1807,2022-02-07
2021-04-22,1840,2022-02-07
2021-04-21,1983,2022-02-07
2021-04-20,2124,2022-02-07
2021-04-19,2424,2022-02-07
2021-04-18,1421,2022-02-07
2021-04-17,1550,2022-02-07
2021-04-16,2035,2022-02-07
2021-04-15,2108,2022-02-07
2021-04-14,2387,2022-02-07
2021-04-13,2403,2022-02-07
2021-04-12,2710,2022-02-07
2021-04-11,1563,2022-02-07
2021-04-10,1820,2022-02-07
2021-04-09,2264,2022-02-07
2021-04-08,2252,2022-02-07
2021-04-07,2606,2022-02-07
2021-04-06,2541,2022-02-07
2021-04-05,2870,2022-02-07
2021-04-04,1543,2022-02-07
2021-04-03,1703,2022-02-07
2021-04-02,2232,2022-02-07
2021-04-01,2326,2022-02-07
2021-03-31,2365,2022-02-07
