test_date,new_positive,issue_date
2021-06-25,0,2021-06-26
2021-06-24,125,2021-06-26
2021-06-23,593,2021-06-26
2021-06-22,983,2021-06-26
2021-06-21,1045,2021-06-26
2021-06-20,438,2021-06-26
2021-06-19,544,2021-06-26
2021-06-18,795,2021-06-26
2021-06-17,915,2021-06-26
2021-06-16,905,2021-06-26
2021-06-15,908,2021-06-26
2021-06-14,991,2021-06-26
2021-06-13,550,2021-06-26
2021-06-12,563,2021-06-26
2021-06-11,772,2021-06-26
2021-06-10,791,2021-06-26
2021-06-09,868,2021-06-26
2021-06-08,981,2021-06-26
2021-06-07,986,2021-06-26
2021-06-06,574,2021-06-26
2021-06-05,613,2021-06-26
2021-06-04,841,2021-06-26
2021-06-03,969,2021-06-26
2021-06-02,1008,2021-06-26
2021-06-01,1173,2021-06-26
2021-05-31,571,2021-06-26
2021-05-30,579,2021-06-26
2021-05-29,590,2021-06-26
2021-05-28,835,2021-06-26
2021-05-27,904,2021-06-26
2021-05-26,954,2021-06-26
2021-05-25,1048,2021-06-26
2021-05-24,1202,2021-06-26
2021-05-23,649,2021-06-26
2021-05-22,695,2021-06-26
2021-05-21,937,2021-06-26
2021-05-20,982,2021-06-26
2021-05-19,1158,2021-06-26
2021-05-18,1203,2021-06-26
2021-05-17,1333,2021-06-26
2021-05-16,799,2021-06-26
2021-05-15,895,2021-06-26
2021-05-14,1145,2021-06-26
2021-05-13,1163,2021-06-26
2021-05-12,1333,2021-06-26
2021-05-11,1447,2021-06-26
2021-05-10,1619,2021-06-26
2021-05-09,930,2021-06-26
2021-05-08,1026,2021-06-26
2021-05-07,1428,2021-06-26
2021-05-06,1509,2021-06-26
2021-05-05,1678,2021-06-26
2021-05-04,1578,2021-06-26
2021-05-03,1953,2021-06-26
2021-05-02,1083,2021-06-26
2021-05-01,1251,2021-06-26
2021-04-30,1627,2021-06-26
2021-04-29,1647,2021-06-26
2021-04-28,1809,2021-06-26
2021-04-27,1863,2021-06-26
2021-04-26,2098,2021-06-26
2021-04-25,1203,2021-06-26
2021-04-24,1356,2021-06-26
2021-04-23,1805,2021-06-26
2021-04-22,1835,2021-06-26
2021-04-21,1975,2021-06-26
2021-04-20,2116,2021-06-26
2021-04-19,2370,2021-06-26
2021-04-18,1411,2021-06-26
2021-04-17,1543,2021-06-26
2021-04-16,2032,2021-06-26
2021-04-15,2108,2021-06-26
2021-04-14,2385,2021-06-26
2021-04-13,2381,2021-06-26
2021-04-12,2697,2021-06-26
2021-04-11,1556,2021-06-26
2021-04-10,1814,2021-06-26
2021-04-09,2256,2021-06-26
2021-04-08,2255,2021-06-26
2021-04-07,2609,2021-06-26
2021-04-06,2523,2021-06-26
2021-04-05,2872,2021-06-26
2021-04-04,1539,2021-06-26
2021-04-03,1696,2021-06-26
2021-04-02,2218,2021-06-26
2021-04-01,2308,2021-06-26
2021-03-31,2365,2021-06-26
2021-03-30,2422,2021-06-26
2021-03-29,2682,2021-06-26
2021-03-28,1600,2021-06-26
2021-03-27,1665,2021-06-26
2021-03-26,2258,2021-06-26
2021-03-25,2279,2021-06-26
2021-03-24,2661,2021-06-26
2021-03-23,2493,2021-06-26
2021-03-22,2690,2021-06-26
2021-03-21,1606,2021-06-26
2021-03-20,1704,2021-06-26
2021-03-19,2166,2021-06-26
2021-03-18,2197,2021-06-26
2021-03-17,2552,2021-06-26
2021-03-16,2497,2021-06-26
2021-03-15,2894,2021-06-26
2021-03-14,1605,2021-06-26
2021-03-13,1885,2021-06-26
2021-03-12,2485,2021-06-26
2021-03-11,2597,2021-06-26
