test_date,new_positive,issue_date
2022-03-07,0,2022-03-08
2022-03-06,155,2022-03-08
2022-03-05,665,2022-03-08
2022-03-04,1721,2022-03-08
2022-03-03,2504,2022-03-08
2022-03-02,3332,2022-03-08
2022-03-01,4230,2022-03-08
2022-02-28,4903,2022-03-08
2022-02-27,2073,2022-03-08
2022-02-26,2471,2022-03-08
2022-02-25,4478,2022-03-08
2022-02-24,4861,2022-03-08
2022-02-23,5412,2022-03-08
2022-02-22,6974,2022-03-08
2022-02-21,5228,2022-03-08
2022-02-20,3541,2022-03-08
2022-02-19,4195,2022-03-08
2022-02-18,7014,2022-03-08
2022-02-17,8184,2022-03-08
2022-02-16,9569,2022-03-08
2022-02-15,11007,2022-03-08
2022-02-14,12955,2022-03-08
2022-02-13,5408,2022-03-08
2022-02-12,7070,2022-03-08
2022-02-11,13734,2022-03-08
2022-02-10,14054,2022-03-08
2022-02-09,16189,2022-03-08
2022-02-08,17858,2022-03-08
2022-02-07,22332,2022-03-08
2022-02-06,9538,2022-03-08
2022-02-05,11665,2022-03-08
2022-02-04,21842,2022-03-08
2022-02-03,24053,2022-03-08
2022-02-02,27463,2022-03-08
2022-02-01,32636,2022-03-08
2022-01-31,38671,2022-03-08
2022-01-30,14951,2022-03-08
2022-01-29,20517,2022-03-08
2022-01-28,38471,2022-03-08
2022-01-27,43878,2022-03-08
2022-01-26,51844,2022-03-08
2022-01-25,59954,2022-03-08
2022-01-24,70122,2022-03-08
2022-01-23,27922,2022-03-08
2022-01-22,39482,2022-03-08
2022-01-21,77076,2022-03-08
2022-01-20,89641,2022-03-08
2022-01-19,100611,2022-03-08
2022-01-18,119512,2022-03-08
2022-01-17,80695,2022-03-08
2022-01-16,39181,2022-03-08
2022-01-15,57402,2022-03-08
2022-01-14,103019,2022-03-08
2022-01-13,112907,2022-03-08
2022-01-12,124729,2022-03-08
2022-01-11,132653,2022-03-08
2022-01-10,138307,2022-03-08
2022-01-09,54645,2022-03-08
2022-01-08,75181,2022-03-08
2022-01-07,132591,2022-03-08
2022-01-06,140635,2022-03-08
2022-01-05,152357,2022-03-08
2022-01-04,153940,2022-03-08
2022-01-03,136328,2022-03-08
2022-01-02,55182,2022-03-08
2022-01-01,31733,2022-03-08
2021-12-31,53610,2022-03-08
2021-12-30,84650,2022-03-08
2021-12-29,87391,2022-03-08
2021-12-28,87594,2022-03-08
2021-12-27,74706,2022-03-08
2021-12-26,35607,2022-03-08
2021-12-25,14631,2022-03-08
2021-12-24,22001,2022-03-08
2021-12-23,32191,2022-03-08
2021-12-22,31592,2022-03-08
2021-12-21,27087,2022-03-08
2021-12-20,23083,2022-03-08
2021-12-19,10766,2022-03-08
2021-12-18,9727,2022-03-08
2021-12-17,11120,2022-03-08
2021-12-16,10193,2022-03-08
2021-12-15,10104,2022-03-08
2021-12-14,8381,2022-03-08
2021-12-13,8951,2022-03-08
2021-12-12,4412,2022-03-08
2021-12-11,4258,2022-03-08
2021-12-10,5792,2022-03-08
2021-12-09,5790,2022-03-08
2021-12-08,6532,2022-03-08
2021-12-07,6590,2022-03-08
2021-12-06,7481,2022-03-08
2021-12-05,3908,2022-03-08
2021-12-04,4196,2022-03-08
2021-12-03,6201,2022-03-08
2021-12-02,6350,2022-03-08
2021-12-01,7564,2022-03-08
2021-11-30,7131,2022-03-08
2021-11-29,8347,2022-03-08
2021-11-28,4451,2022-03-08
2021-11-27,4279,2022-03-08
2021-11-26,4366,2022-03-08
2021-11-25,2309,2022-03-08
2021-11-24,4682,2022-03-08
2021-11-23,4867,2022-03-08
2021-11-22,5255,2022-03-08
2021-11-21,2961,2022-03-08
2021-11-20,3288,2022-03-08
2021-11-19,4604,2022-03-08
2021-11-18,4700,2022-03-08
2021-11-17,5161,2022-03-08
2021-11-16,5420,2022-03-08
2021-11-15,6427,2022-03-08
2021-11-14,3265,2022-03-08
2021-11-13,3458,2022-03-08
2021-11-12,5101,2022-03-08
2021-11-11,4326,2022-03-08
2021-11-10,5633,2022-03-08
2021-11-09,5905,2022-03-08
2021-11-08,6660,2022-03-08
2021-11-07,3484,2022-03-08
2021-11-06,3682,2022-03-08
2021-11-05,5544,2022-03-08
2021-11-04,6037,2022-03-08
2021-11-03,6426,2022-03-08
2021-11-02,6537,2022-03-08
2021-11-01,7415,2022-03-08
2021-10-31,3509,2022-03-08
2021-10-30,3955,2022-03-08
2021-10-29,5649,2022-03-08
2021-10-28,6085,2022-03-08
2021-10-27,6572,2022-03-08
2021-10-26,6805,2022-03-08
2021-10-25,7221,2022-03-08
2021-10-24,3585,2022-03-08
2021-10-23,4078,2022-03-08
2021-10-22,5991,2022-03-08
2021-10-21,5929,2022-03-08
2021-10-20,6240,2022-03-08
2021-10-19,6379,2022-03-08
2021-10-18,7086,2022-03-08
2021-10-17,3576,2022-03-08
2021-10-16,3650,2022-03-08
2021-10-15,5302,2022-03-08
2021-10-14,5300,2022-03-08
2021-10-13,5634,2022-03-08
2021-10-12,5811,2022-03-08
2021-10-11,5815,2022-03-08
2021-10-10,3308,2022-03-08
2021-10-09,3522,2022-03-08
2021-10-08,5169,2022-03-08
2021-10-07,5314,2022-03-08
2021-10-06,6005,2022-03-08
2021-10-05,6249,2022-03-08
2021-10-04,6796,2022-03-08
2021-10-03,3402,2022-03-08
2021-10-02,3692,2022-03-08
2021-10-01,5760,2022-03-08
2021-09-30,5796,2022-03-08
2021-09-29,6235,2022-03-08
2021-09-28,6768,2022-03-08
2021-09-27,7646,2022-03-08
2021-09-26,3761,2022-03-08
2021-09-25,4230,2022-03-08
2021-09-24,6169,2022-03-08
2021-09-23,6488,2022-03-08
2021-09-22,7406,2022-03-08
2021-09-21,7530,2022-03-08
2021-09-20,8848,2022-03-08
2021-09-19,4147,2022-03-08
2021-09-18,4914,2022-03-08
2021-09-17,7335,2022-03-08
2021-09-16,7868,2022-03-08
2021-09-15,8862,2022-03-08
2021-09-14,9461,2022-03-08
2021-09-13,10417,2022-03-08
2021-09-12,5343,2022-03-08
2021-09-11,6253,2022-03-08
2021-09-10,9306,2022-03-08
2021-09-09,10183,2022-03-08
2021-09-08,11325,2022-03-08
2021-09-07,12431,2022-03-08
2021-09-06,6649,2022-03-08
2021-09-05,5370,2022-03-08
2021-09-04,6795,2022-03-08
2021-09-03,9976,2022-03-08
2021-09-02,11006,2022-03-08
2021-09-01,12946,2022-03-08
2021-08-31,12276,2022-03-08
2021-08-30,13301,2022-03-08
2021-08-29,6587,2022-03-08
2021-08-28,7809,2022-03-08
2021-08-27,11264,2022-03-08
2021-08-26,12432,2022-03-08
2021-08-25,13617,2022-03-08
2021-08-24,14061,2022-03-08
2021-08-23,15328,2022-03-08
2021-08-22,7547,2022-03-08
2021-08-21,8881,2022-03-08
2021-08-20,13414,2022-03-08
2021-08-19,13917,2022-03-08
2021-08-18,15050,2022-03-08
2021-08-17,15521,2022-03-08
2021-08-16,16144,2022-03-08
2021-08-15,8190,2022-03-08
2021-08-14,9582,2022-03-08
2021-08-13,13768,2022-03-08
2021-08-12,14625,2022-03-08
2021-08-11,15518,2022-03-08
2021-08-10,16203,2022-03-08
2021-08-09,16303,2022-03-08
2021-08-08,8715,2022-03-08
2021-08-07,9686,2022-03-08
2021-08-06,12895,2022-03-08
2021-08-05,13933,2022-03-08
2021-08-04,14094,2022-03-08
2021-08-03,14348,2022-03-08
2021-08-02,14119,2022-03-08
2021-08-01,8503,2022-03-08
2021-07-31,8489,2022-03-08
2021-07-30,11088,2022-03-08
2021-07-29,11756,2022-03-08
2021-07-28,11825,2022-03-08
2021-07-27,11228,2022-03-08
2021-07-26,11708,2022-03-08
2021-07-25,6407,2022-03-08
2021-07-24,6732,2022-03-08
2021-07-23,8098,2022-03-08
2021-07-22,8276,2022-03-08
2021-07-21,8752,2022-03-08
2021-07-20,8318,2022-03-08
2021-07-19,8364,2022-03-08
2021-07-18,4782,2022-03-08
2021-07-17,4664,2022-03-08
2021-07-16,5948,2022-03-08
2021-07-15,5846,2022-03-08
2021-07-14,5549,2022-03-08
2021-07-13,5380,2022-03-08
2021-07-12,5364,2022-03-08
2021-07-11,3126,2022-03-08
2021-07-10,3128,2022-03-08
2021-07-09,3610,2022-03-08
2021-07-08,3578,2022-03-08
2021-07-07,3767,2022-03-08
