test_date,new_positive,issue_date
2020-12-21,48493,2021-06-04
2020-12-20,20345,2021-06-04
2020-12-19,29580,2021-06-04
2020-12-18,41642,2021-06-04
2020-12-17,44636,2021-06-04
2020-12-16,45913,2021-06-04
2020-12-15,48591,2021-06-04
2020-12-14,49131,2021-06-04
2020-12-13,20577,2021-06-04
2020-12-12,30404,2021-06-04
2020-12-11,39840,2021-06-04
2020-12-10,40624,2021-06-04
2020-12-09,41542,2021-06-04
2020-12-08,41172,2021-06-04
2020-12-07,40854,2021-06-04
2020-12-06,18076,2021-06-04
2020-12-05,24156,2021-06-04
2020-12-04,31715,2021-06-04
2020-12-03,31721,2021-06-04
2020-12-02,33355,2021-06-04
2020-12-01,34221,2021-06-04
2020-11-30,32478,2021-06-04
2020-11-29,15963,2021-06-04
2020-11-28,18063,2021-06-04
2020-11-27,17928,2021-06-04
2020-11-26,9106,2021-06-04
2020-11-25,20629,2021-06-04
2020-11-24,20503,2021-06-04
2020-11-23,21014,2021-06-04
2020-11-22,10188,2021-06-04
2020-11-21,12259,2021-06-04
2020-11-20,17437,2021-06-04
2020-11-19,16423,2021-06-04
2020-11-18,17142,2021-06-04
2020-11-17,17039,2021-06-04
2020-11-16,17559,2021-06-04
2020-11-15,9080,2021-06-04
2020-11-14,9861,2021-06-04
2020-11-13,12422,2021-06-04
2020-11-12,11516,2021-06-04
2020-11-11,10583,2021-06-04
2020-11-10,10886,2021-06-04
2020-11-09,11064,2021-06-04
2020-11-08,5491,2021-06-04
2020-11-07,6378,2021-06-04
2020-11-06,8487,2021-06-04
2020-11-05,8122,2021-06-04
2020-11-04,8427,2021-06-04
2020-11-03,8234,2021-06-04
2020-11-02,8421,2021-06-04
2020-11-01,4940,2021-06-04
2020-10-31,4449,2021-06-04
2020-10-30,5517,2021-06-04
2020-10-29,4861,2021-06-04
2020-10-28,4892,2021-06-04
2020-10-27,4831,2021-06-04
2020-10-26,5479,2021-06-04
2020-10-25,2904,2021-06-04
2020-10-24,3250,2021-06-04
2020-10-23,4549,2021-06-04
2020-10-22,4149,2021-06-04
2020-10-21,4404,2021-06-04
2020-10-20,4683,2021-06-04
2020-10-19,5033,2021-06-04
2020-10-18,2526,2021-06-04
2020-10-17,2932,2021-06-04
2020-10-16,3768,2021-06-04
2020-10-15,3883,2021-06-04
2020-10-14,3795,2021-06-04
2020-10-13,3839,2021-06-04
2020-10-12,4323,2021-06-04
2020-10-11,2210,2021-06-04
2020-10-10,2990,2021-06-04
2020-10-09,3543,2021-06-04
2020-10-08,3753,2021-06-04
2020-10-07,3720,2021-06-04
2020-10-06,3705,2021-06-04
2020-10-05,4290,2021-06-04
2020-10-04,2221,2021-06-04
2020-10-03,2652,2021-06-04
2020-10-02,3340,2021-06-04
2020-10-01,3723,2021-06-04
2020-09-30,3713,2021-06-04
2020-09-29,3798,2021-06-04
2020-09-28,4057,2021-06-04
2020-09-27,2067,2021-06-04
2020-09-26,2354,2021-06-04
2020-09-25,3490,2021-06-04
2020-09-24,3396,2021-06-04
2020-09-23,3789,2021-06-04
2020-09-22,3725,2021-06-04
2020-09-21,4107,2021-06-04
2020-09-20,2159,2021-06-04
2020-09-19,2489,2021-06-04
2020-09-18,3444,2021-06-04
2020-09-17,3304,2021-06-04
2020-09-16,3801,2021-06-04
2020-09-15,3771,2021-06-04
2020-09-14,4170,2021-06-04
2020-09-13,2013,2021-06-04
2020-09-12,2335,2021-06-04
2020-09-11,3367,2021-06-04
2020-09-10,3231,2021-06-04
2020-09-09,3603,2021-06-04
2020-09-08,4237,2021-06-04
2020-09-07,2325,2021-06-04
2020-09-06,1972,2021-06-04
2020-09-05,2269,2021-06-04
2020-09-04,3476,2021-06-04
2020-09-03,3686,2021-06-04
2020-09-02,4074,2021-06-04
2020-09-01,4606,2021-06-04
2020-08-31,4355,2021-06-04
2020-08-30,2267,2021-06-04
2020-08-29,2629,2021-06-04
2020-08-28,3946,2021-06-04
2020-08-27,4008,2021-06-04
2020-08-26,4622,2021-06-04
2020-08-25,4904,2021-06-04
2020-08-24,5451,2021-06-04
2020-08-23,2552,2021-06-04
2020-08-22,3122,2021-06-04
2020-08-21,4425,2021-06-04
2020-08-20,4691,2021-06-04
2020-08-19,4678,2021-06-04
2020-08-18,5236,2021-06-04
2020-08-17,5752,2021-06-04
2020-08-16,2676,2021-06-04
2020-08-15,3652,2021-06-04
2020-08-14,5217,2021-06-04
2020-08-13,5213,2021-06-04
2020-08-12,5936,2021-06-04
2020-08-11,6198,2021-06-04
2020-08-10,7068,2021-06-04
2020-08-09,3174,2021-06-04
2020-08-08,4275,2021-06-04
2020-08-07,6428,2021-06-04
2020-08-06,6253,2021-06-04
2020-08-05,6714,2021-06-04
2020-08-04,7250,2021-06-04
2020-08-03,7552,2021-06-04
2020-08-02,3569,2021-06-04
2020-08-01,5399,2021-06-04
2020-07-31,7224,2021-06-04
2020-07-30,7242,2021-06-04
2020-07-29,7797,2021-06-04
2020-07-28,8831,2021-06-04
2020-07-27,9112,2021-06-04
2020-07-26,4162,2021-06-04
2020-07-25,5798,2021-06-04
2020-07-24,8249,2021-06-04
2020-07-23,8507,2021-06-04
2020-07-22,9378,2021-06-04
2020-07-21,10111,2021-06-04
2020-07-20,11050,2021-06-04
2020-07-19,5490,2021-06-04
2020-07-18,7326,2021-06-04
2020-07-17,10773,2021-06-04
2020-07-16,11068,2021-06-04
2020-07-15,11607,2021-06-04
2020-07-14,11578,2021-06-04
2020-07-13,11665,2021-06-04
2020-07-12,5907,2021-06-04
2020-07-11,7568,2021-06-04
2020-07-10,11449,2021-06-04
2020-07-09,11168,2021-06-04
2020-07-08,12186,2021-06-04
2020-07-07,12528,2021-06-04
2020-07-06,11789,2021-06-04
2020-07-05,6240,2021-06-04
2020-07-04,5388,2021-06-04
2020-07-03,8001,2021-06-04
2020-07-02,10631,2021-06-04
2020-07-01,11237,2021-06-04
2020-06-30,10528,2021-06-04
2020-06-29,10514,2021-06-04
2020-06-28,5465,2021-06-04
2020-06-27,6272,2021-06-04
2020-06-26,9107,2021-06-04
