test_date,new_positive,issue_date
2021-12-01,0,2021-12-02
2021-11-30,557,2021-12-02
2021-11-29,3567,2021-12-02
2021-11-28,2152,2021-12-02
2021-11-27,2676,2021-12-02
2021-11-26,2813,2021-12-02
2021-11-25,985,2021-12-02
2021-11-24,3665,2021-12-02
2021-11-23,4045,2021-12-02
2021-11-22,4417,2021-12-02
2021-11-21,2418,2021-12-02
2021-11-20,2762,2021-12-02
2021-11-19,4130,2021-12-02
2021-11-18,4281,2021-12-02
2021-11-17,4790,2021-12-02
2021-11-16,5107,2021-12-02
2021-11-15,6174,2021-12-02
2021-11-14,3136,2021-12-02
2021-11-13,3359,2021-12-02
2021-11-12,4993,2021-12-02
2021-11-11,4272,2021-12-02
2021-11-10,5537,2021-12-02
2021-11-09,5804,2021-12-02
2021-11-08,6566,2021-12-02
2021-11-07,3405,2021-12-02
2021-11-06,3611,2021-12-02
2021-11-05,5478,2021-12-02
2021-11-04,5961,2021-12-02
2021-11-03,6329,2021-12-02
2021-11-02,6403,2021-12-02
2021-11-01,7293,2021-12-02
2021-10-31,3456,2021-12-02
2021-10-30,3906,2021-12-02
2021-10-29,5590,2021-12-02
2021-10-28,6016,2021-12-02
2021-10-27,6485,2021-12-02
2021-10-26,6722,2021-12-02
2021-10-25,7168,2021-12-02
2021-10-24,3527,2021-12-02
2021-10-23,4014,2021-12-02
2021-10-22,5925,2021-12-02
2021-10-21,5874,2021-12-02
2021-10-20,6199,2021-12-02
2021-10-19,6328,2021-12-02
2021-10-18,6995,2021-12-02
2021-10-17,3547,2021-12-02
2021-10-16,3604,2021-12-02
2021-10-15,5238,2021-12-02
2021-10-14,5236,2021-12-02
2021-10-13,5579,2021-12-02
2021-10-12,5760,2021-12-02
2021-10-11,5757,2021-12-02
2021-10-10,3263,2021-12-02
2021-10-09,3479,2021-12-02
2021-10-08,5135,2021-12-02
2021-10-07,5266,2021-12-02
2021-10-06,5955,2021-12-02
2021-10-05,6190,2021-12-02
2021-10-04,6754,2021-12-02
2021-10-03,3362,2021-12-02
2021-10-02,3657,2021-12-02
2021-10-01,5679,2021-12-02
2021-09-30,5743,2021-12-02
2021-09-29,6165,2021-12-02
2021-09-28,6710,2021-12-02
2021-09-27,7585,2021-12-02
2021-09-26,3723,2021-12-02
2021-09-25,4197,2021-12-02
2021-09-24,6115,2021-12-02
2021-09-23,6441,2021-12-02
2021-09-22,7328,2021-12-02
2021-09-21,7469,2021-12-02
2021-09-20,8776,2021-12-02
2021-09-19,4117,2021-12-02
2021-09-18,4866,2021-12-02
2021-09-17,7264,2021-12-02
2021-09-16,7835,2021-12-02
2021-09-15,8763,2021-12-02
2021-09-14,9394,2021-12-02
2021-09-13,10328,2021-12-02
2021-09-12,5297,2021-12-02
2021-09-11,6201,2021-12-02
2021-09-10,9243,2021-12-02
2021-09-09,10125,2021-12-02
2021-09-08,11238,2021-12-02
2021-09-07,12326,2021-12-02
2021-09-06,6602,2021-12-02
2021-09-05,5322,2021-12-02
2021-09-04,6694,2021-12-02
2021-09-03,9911,2021-12-02
2021-09-02,10888,2021-12-02
2021-09-01,12766,2021-12-02
2021-08-31,12181,2021-12-02
2021-08-30,13169,2021-12-02
2021-08-29,6545,2021-12-02
2021-08-28,7734,2021-12-02
2021-08-27,11171,2021-12-02
2021-08-26,12346,2021-12-02
2021-08-25,13545,2021-12-02
2021-08-24,13968,2021-12-02
2021-08-23,15211,2021-12-02
2021-08-22,7487,2021-12-02
2021-08-21,8818,2021-12-02
2021-08-20,13336,2021-12-02
2021-08-19,13844,2021-12-02
2021-08-18,14955,2021-12-02
2021-08-17,15457,2021-12-02
2021-08-16,16064,2021-12-02
2021-08-15,8139,2021-12-02
2021-08-14,9527,2021-12-02
2021-08-13,13695,2021-12-02
2021-08-12,14535,2021-12-02
2021-08-11,15402,2021-12-02
2021-08-10,16109,2021-12-02
2021-08-09,16227,2021-12-02
2021-08-08,8625,2021-12-02
2021-08-07,9632,2021-12-02
2021-08-06,12834,2021-12-02
2021-08-05,13857,2021-12-02
2021-08-04,14031,2021-12-02
2021-08-03,14294,2021-12-02
2021-08-02,14035,2021-12-02
2021-08-01,8449,2021-12-02
2021-07-31,8462,2021-12-02
2021-07-30,11049,2021-12-02
2021-07-29,11717,2021-12-02
2021-07-28,11792,2021-12-02
2021-07-27,11181,2021-12-02
2021-07-26,11666,2021-12-02
2021-07-25,6393,2021-12-02
2021-07-24,6718,2021-12-02
2021-07-23,8055,2021-12-02
2021-07-22,8249,2021-12-02
2021-07-21,8726,2021-12-02
2021-07-20,8285,2021-12-02
2021-07-19,8333,2021-12-02
2021-07-18,4760,2021-12-02
2021-07-17,4647,2021-12-02
2021-07-16,5941,2021-12-02
2021-07-15,5830,2021-12-02
2021-07-14,5533,2021-12-02
2021-07-13,5359,2021-12-02
2021-07-12,5349,2021-12-02
2021-07-11,3109,2021-12-02
2021-07-10,3119,2021-12-02
2021-07-09,3589,2021-12-02
2021-07-08,3558,2021-12-02
2021-07-07,3748,2021-12-02
2021-07-06,3586,2021-12-02
2021-07-05,2763,2021-12-02
2021-07-04,1549,2021-12-02
2021-07-03,1684,2021-12-02
2021-07-02,2009,2021-12-02
2021-07-01,2153,2021-12-02
2021-06-30,2006,2021-12-02
2021-06-29,1873,2021-12-02
2021-06-28,1929,2021-12-02
2021-06-27,1171,2021-12-02
2021-06-26,1064,2021-12-02
2021-06-25,1303,2021-12-02
2021-06-24,1392,2021-12-02
2021-06-23,1233,2021-12-02
2021-06-22,1294,2021-12-02
2021-06-21,1379,2021-12-02
2021-06-20,791,2021-12-02
2021-06-19,738,2021-12-02
2021-06-18,921,2021-12-02
2021-06-17,1016,2021-12-02
2021-06-16,1060,2021-12-02
2021-06-15,1031,2021-12-02
2021-06-14,1136,2021-12-02
2021-06-13,697,2021-12-02
2021-06-12,663,2021-12-02
2021-06-11,846,2021-12-02
2021-06-10,869,2021-12-02
2021-06-09,916,2021-12-02
2021-06-08,1040,2021-12-02
2021-06-07,1022,2021-12-02
2021-06-06,614,2021-12-02
2021-06-05,642,2021-12-02
2021-06-04,861,2021-12-02
2021-06-03,990,2021-12-02
2021-06-02,1038,2021-12-02
2021-06-01,1211,2021-12-02
2021-05-31,595,2021-12-02
2021-05-30,585,2021-12-02
2021-05-29,600,2021-12-02
2021-05-28,852,2021-12-02
2021-05-27,914,2021-12-02
2021-05-26,962,2021-12-02
2021-05-25,1051,2021-12-02
2021-05-24,1207,2021-12-02
2021-05-23,654,2021-12-02
2021-05-22,702,2021-12-02
2021-05-21,947,2021-12-02
2021-05-20,988,2021-12-02
2021-05-19,1172,2021-12-02
2021-05-18,1212,2021-12-02
2021-05-17,1328,2021-12-02
2021-05-16,808,2021-12-02
2021-05-15,898,2021-12-02
2021-05-14,1161,2021-12-02
2021-05-13,1182,2021-12-02
2021-05-12,1337,2021-12-02
2021-05-11,1450,2021-12-02
2021-05-10,1625,2021-12-02
2021-05-09,935,2021-12-02
2021-05-08,1028,2021-12-02
2021-05-07,1432,2021-12-02
2021-05-06,1511,2021-12-02
2021-05-05,1688,2021-12-02
2021-05-04,1582,2021-12-02
2021-05-03,1953,2021-12-02
2021-05-02,1097,2021-12-02
2021-05-01,1263,2021-12-02
2021-04-30,1634,2021-12-02
2021-04-29,1648,2021-12-02
2021-04-28,1813,2021-12-02
2021-04-27,1862,2021-12-02
2021-04-26,2098,2021-12-02
2021-04-25,1202,2021-12-02
2021-04-24,1357,2021-12-02
2021-04-23,1803,2021-12-02
2021-04-22,1830,2021-12-02
2021-04-21,1978,2021-12-02
2021-04-20,2118,2021-12-02
2021-04-19,2375,2021-12-02
2021-04-18,1415,2021-12-02
2021-04-17,1542,2021-12-02
2021-04-16,2025,2021-12-02
2021-04-15,2105,2021-12-02
2021-04-14,2378,2021-12-02
2021-04-13,2392,2021-12-02
2021-04-12,2697,2021-12-02
2021-04-11,1556,2021-12-02
2021-04-10,1816,2021-12-02
2021-04-09,2254,2021-12-02
2021-04-08,2251,2021-12-02
2021-04-07,2595,2021-12-02
2021-04-06,2531,2021-12-02
2021-04-05,2864,2021-12-02
2021-04-04,1536,2021-12-02
2021-04-03,1692,2021-12-02
2021-04-02,2219,2021-12-02
2021-04-01,2320,2021-12-02
2021-03-31,2358,2021-12-02
2021-03-30,2406,2021-12-02
2021-03-29,2681,2021-12-02
2021-03-28,1595,2021-12-02
2021-03-27,1656,2021-12-02
2021-03-26,2248,2021-12-02
2021-03-25,2268,2021-12-02
2021-03-24,2653,2021-12-02
2021-03-23,2483,2021-12-02
2021-03-22,2680,2021-12-02
2021-03-21,1595,2021-12-02
2021-03-20,1712,2021-12-02
2021-03-19,2168,2021-12-02
2021-03-18,2197,2021-12-02
2021-03-17,2622,2021-12-02
2021-03-16,2488,2021-12-02
2021-03-15,2870,2021-12-02
2021-03-14,1591,2021-12-02
2021-03-13,1894,2021-12-02
2021-03-12,2487,2021-12-02
2021-03-11,2568,2021-12-02
2021-03-10,2748,2021-12-02
2021-03-09,2794,2021-12-02
2021-03-08,3312,2021-12-02
2021-03-07,1923,2021-12-02
2021-03-06,2187,2021-12-02
2021-03-05,2909,2021-12-02
2021-03-04,2922,2021-12-02
2021-03-03,3173,2021-12-02
2021-03-02,3242,2021-12-02
2021-03-01,3725,2021-12-02
2021-02-28,2159,2021-12-02
2021-02-27,2510,2021-12-02
2021-02-26,3332,2021-12-02
2021-02-25,3429,2021-12-02
2021-02-24,3854,2021-12-02
2021-02-23,4053,2021-12-02
2021-02-22,4693,2021-12-02
2021-02-21,2619,2021-12-02
2021-02-20,3095,2021-12-02
2021-02-19,4183,2021-12-02
2021-02-18,4370,2021-12-02
2021-02-17,5042,2021-12-02
2021-02-16,5635,2021-12-02
2021-02-15,5207,2021-12-02
2021-02-14,3481,2021-12-02
2021-02-13,4397,2021-12-02
2021-02-12,6173,2021-12-02
2021-02-11,6552,2021-12-02
2021-02-10,7459,2021-12-02
2021-02-09,7706,2021-12-02
2021-02-08,9377,2021-12-02
2021-02-07,5107,2021-12-02
2021-02-06,6629,2021-12-02
2021-02-05,9403,2021-12-02
2021-02-04,10100,2021-12-02
2021-02-03,11473,2021-12-02
2021-02-02,12554,2021-12-02
2021-02-01,15239,2021-12-02
2021-01-31,7912,2021-12-02
2021-01-30,10081,2021-12-02
2021-01-29,12756,2021-12-02
2021-01-28,14506,2021-12-02
